binomial,family,invert,vert_end,vert_ect,vert_fish,vert_unk,scav,fruit,nect,seed,plant_other,diet_source,diet_certainty,forage,forage_certainty,forage_comment,nocturnal,crepuscular,diurnal,activity_source,activity_certainty,body_mass,body_mass_source,body_mass_species_level
Tachyglossus aculeatus,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,3025,Ref_117,1
Zaglossus attenboroughi,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,Ref_65,ABC,G,A,,1,0,0,Ref_1,ABC,8532.39,"Ref_2, Ref_3",0
Zaglossus bartoni,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,Ref_2,D1,G,A,,1,0,0,Ref_1,ABC,7180,Ref_131,1
Zaglossus bruijni,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,10139.5,Ref_117,1
Ornithorhynchus anatinus,Ornithorhynchidae,80,0,0,20,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,1484.25,Ref_117,1
Caluromys philander,Didelphidae,20,0,0,0,10,0,20,0,10,40,Ref_1,ABC,Ar,A,,1,1,0,Ref_1,ABC,229.25,Ref_117,1
Caluromys derbianus,Didelphidae,20,0,0,0,10,0,20,0,10,40,Ref_1,ABC,Ar,A,,1,1,0,Ref_1,ABC,297,Ref_117,1
Caluromys lanatus,Didelphidae,20,0,0,0,10,0,20,0,10,40,Ref_1,ABC,Ar,A,,1,1,0,Ref_1,ABC,325,Ref_117,1
Caluromysiops irrupta,Didelphidae,20,0,0,0,0,0,20,40,0,20,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,250,Ref_117,1
Glironia venusta,Didelphidae,40,0,0,0,20,0,20,0,20,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,114,Ref_117,1
Chironectes minimus,Didelphidae,50,0,0,30,0,0,0,0,0,20,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,946,Ref_117,1
Didelphis aurita,Didelphidae,20,0,0,0,30,30,0,0,0,20,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,1163.99,Ref_117,1
Didelphis imperfecta,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,1260.04,"Ref_2, Ref_3",0
Didelphis marsupialis,Didelphidae,20,0,0,0,30,30,0,0,0,20,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,1091.16,Ref_117,1
Didelphis pernigra,Didelphidae,20,0,0,0,30,30,0,0,0,20,Ref_2,D1,S,A,,1,0,0,Ref_1,ABC,1260.04,"Ref_2, Ref_3",0
Didelphis virginiana,Didelphidae,20,0,0,0,30,30,0,0,0,20,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,2195.48,Ref_117,1
Didelphis albiventris,Didelphidae,20,0,0,0,30,30,0,0,0,20,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,904,Ref_117,1
Gracilinanus formosus,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_2,D1,S,A,,1,1,0,Ref_2,D1,18.9,"Ref_2, Ref_3",0
Gracilinanus emiliae,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_1,ABC,S,A,,1,1,0,Ref_1,ABC,7.6,Ref_117,1
Gracilinanus microtarsus,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_1,ABC,S,A,,1,1,0,Ref_1,ABC,31,Ref_117,1
Gracilinanus marica,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_1,ABC,S,A,,1,1,0,Ref_1,ABC,23.8,Ref_117,1
Gracilinanus dryas,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_1,ABC,S,A,,1,1,0,Ref_1,ABC,18,Ref_117,1
Gracilinanus aceramarcae,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_1,ABC,S,A,,1,1,0,Ref_1,ABC,20.5,Ref_117,1
Gracilinanus agricolai,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_2,D1,S,A,,1,1,0,Ref_2,D1,18.9,"Ref_2, Ref_3",0
Gracilinanus agilis,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_1,ABC,S,A,,1,1,0,Ref_1,ABC,22,Ref_117,1
Gracilinanus ignitus,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_2,D1,S,A,,1,1,0,Ref_2,D1,18.9,"Ref_2, Ref_3",0
Hyladelphys kalinowskii,Didelphidae,60,10,0,0,0,10,20,0,0,0,Ref_3,D2,Ar,A,,1,0,0,Ref_3,D2,16.75,Ref_155,1
Lestodelphys halli,Didelphidae,0,100,0,0,0,0,0,0,0,0,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,76,Ref_117,1
Lutreolina crassicaudata,Didelphidae,20,40,20,20,0,0,0,0,0,0,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,537.3,Ref_117,1
Marmosa murina,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,26,Ref_117,1
Marmosa xerophila,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,46.2,Ref_117,1
Marmosa tyleriana,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,32.4,Ref_117,1
Marmosa rubra,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,63,Ref_117,1
Marmosa quichua,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_2,D1,Ar,A,,1,0,0,Ref_2,D1,38.23,"Ref_2, Ref_3",0
Marmosa mexicana,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,49.45,Ref_117,1
Marmosa lepida,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,14,Ref_117,1
Marmosa andersoni,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,47.4,Ref_117,1
Marmosa robinsoni,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,56.67,Ref_117,1
Marmosops handleyi,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,30.7,Ref_117,1
Marmosops juninensis,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_2,D1,Ar,A,,1,0,0,Ref_2,D1,31.57,"Ref_2, Ref_3",0
Marmosops pinheiroi,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_23,ABC,Ar,A,,1,0,0,Ref_2,D1,31.57,"Ref_2, Ref_3",0
Marmosops paulensis,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_2,D1,Ar,A,,1,0,0,Ref_2,D1,38.89,Ref_58,1
Marmosops parvidens,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,15,Ref_117,1
Marmosops noctivagus,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,21,Ref_117,1
Marmosops neblina,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_2,D1,Ar,A,,1,0,0,Ref_2,D1,31.57,"Ref_2, Ref_3",0
Marmosops bishopi,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_2,D1,Ar,A,,1,0,0,Ref_2,D1,19.5,Ref_132,1
