site,avg_severity,dist_to_edge
GRNCAR,0,-3723.644574667105
GRNDAM,0,-371.3489783940457
GRNHOU,0,-557.5164217729651
GRNKAN,0,-4770.413861931034
GRNMAS,0,-1053.7567150116936
GRNQUA,0,-113.38164783920669
GRNSNO,1.183673469387755,-102.53350419134514
GRNTUR,0,-165.57968131258855
GRNWOO,0,-2133.2621941070206
HIBADR,4,1253.2657149149707
HICAMP,3.902439024390244,517.8066015198754
HICORN,4,2960.220650402743
HICOWS,4,1018.5146367615249
HIDODD,4,1570.769100148736
HISHRU,4,2253.8132616203816
HISQUE,4,1828.9585186036888
HITEDD,4,2885.753668844198
HIWALK,3.962962962962963,1240.1792118551675
MIXBUS,2.0833333333333335,245.69607351614343
MIXBUT,2.823529411764706,689.5426904299675
MIXDP2,2.923076923076923,762.551693593657
MIXMID,1.9,631.195671412092
MIXMIX,1.75,1385.5687597149351
MIXMOR,2.1363636363636362,318.5583310191694
MIXRAV,3.0238095238095237,514.6202245182793
MIXRIV,2.6666666666666665,410.9195389554165
MIXWAT,2.1794871794871793,160.2105452371079
