Site,Transect,Meter,Raw_data_entry,Species,Type,cover,Max_height_cm,Avg_height_cm,Comments,Entered.by,Daniel,Avg.Vol.c,Max.Vol.c,Cover_type,Number_records,mean_Avg.Ratio.L,median_Avg.Ratio.L,SD_Avg.Ratio.L,max_Avg.Ratio.L,min_Avg.Ratio.L,mean_Max.Ratio.L,median_Max.Ratio.L,SD_Max.Ratio.L,max_Max.Ratio.L,min_Max.Ratio.L,Live.Weight_mean.Avg.Ratio.L,Live.Weight_mean.Max.Ratio.L
GRNCAR,1,0,Soft Loose Litter,BLANK,Soft loose litter,68,2,1,,JMP,,6800,13600,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,935.352104,1417.955362
GRNCAR,1,0,symphoricarpos mollis,Symphoricarpos mollis,Shrub,12,15,10,,JMP,,12000,18000,Shrub,1,0.014254545,0.014254545,NA,0.014254545,0.014254545,0.008909091,0.008909091,NA,0.008909091,0.008909091,171.05454,160.363638
GRNCAR,1,0,Woody Litter,BLANK,Woody litter,30,8,3,,JMP,,9000,24000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,5468.021904,7636.052626
GRNCAR,1,5,Soft Loose Litter,BLANK,Soft loose litter,35,1,1,,JMP,,3500,3500,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,481.43123,364.9149829
GRNCAR,1,5,symphoricarpos mollis,Symphoricarpos mollis,Shrub,6,13,10,,JMP,,6000,7800,Shrub,1,0.014254545,0.014254545,NA,0.014254545,0.014254545,0.008909091,0.008909091,NA,0.008909091,0.008909091,85.52727,69.4909098
GRNCAR,1,5,Woody Litter,BLANK,Woody litter,65,3,1,,JMP,,6500,19500,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,3949.126931,6204.292759
GRNCAR,1,10,Quercus kelloggii Seedling,Quercus kelloggii,Tree,4,17,15,seedling,JMP,,6000,6800,Tree,1,0.0032,0.0032,NA,0.0032,0.0032,0.00256,0.00256,NA,0.00256,0.00256,19.2,17.408
GRNCAR,1,10,Soft Loose Litter,BLANK,Soft loose litter,20,1,1,,JMP,,2000,2000,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,275.10356,208.5228474
GRNCAR,1,10,symphoricarpos mollis,Symphoricarpos mollis,Shrub,25,15,8,,JMP,,20000,37500,Shrub,1,0.014254545,0.014254545,NA,0.014254545,0.014254545,0.008909091,0.008909091,NA,0.008909091,0.008909091,285.0909,334.0909125
GRNCAR,1,10,Woody Litter,BLANK,Woody litter,75,5,2,,JMP,,15000,37500,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,9113.36984,11931.33223
