Site,Date,Transect,Meter,Species,Shrub_or_Tree,Height_cm,Width_cm,Length_cm,Tree.DBH_cm,Comments,Entered.by,Review.comment,Volume,Cover_type,Number_records,mean_Avg.Ratio.L,median_Avg.Ratio.L,SD_Avg.Ratio.L,max_Avg.Ratio.L,min_Avg.Ratio.L,mean_Max.Ratio.L,median_Max.Ratio.L,SD_Max.Ratio.L,max_Max.Ratio.L,min_Max.Ratio.L,Live.Weight_mean.Avg.Ratio.L,Live.Weight_mean.Max.Ratio.L,oldBAT,youngBAT,std.biomass,biomass
GRNCAR,42982,1,0-5,Symphoricarpos mollis,Shrub,40,300,230,NA,NA,AMM,NA,2760000,Shrub,1,0.014254545,0.014254545,NA,0.014254545,0.014254545,0.008909091,0.008909091,NA,0.008909091,0.008909091,39342.5442,24589.09116,NA,NA,NA,39342.5442
GRNCAR,42982,1,43230,Symphoricarpos mollis,Shrub,45,300,500,NA,NA,AMM,NA,6750000,Shrub,1,0.014254545,0.014254545,NA,0.014254545,0.014254545,0.008909091,0.008909091,NA,0.008909091,0.008909091,96218.17875,60136.36425,NA,NA,NA,96218.17875
GRNCAR,42982,1,43388,Symphoricarpos mollis,Shrub,35,110,160,NA,NA,AMM,NA,616000,Shrub,1,0.014254545,0.014254545,NA,0.014254545,0.014254545,0.008909091,0.008909091,NA,0.008909091,0.008909091,8780.79972,5488.000056,NA,NA,NA,8780.79972
GRNCAR,42982,1,43388,Symphoricarpos mollis,Shrub,30,200,140,NA,NA,AMM,NA,840000,Shrub,1,0.014254545,0.014254545,NA,0.014254545,0.014254545,0.008909091,0.008909091,NA,0.008909091,0.008909091,11973.8178,7483.63644,NA,NA,NA,11973.8178
GRNKAN,42947,1,43230,Quercus kelloggii,Shrub,72,53,100,NA,measured like shrub,AMM,NA,381600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.7588821,74.98687105,NA,74.98687105
GRNKAN,42947,1,15-20,Ceanothus integerrimus,Shrub,330,450,220,NA,NA,AMM,NA,32670000,Shrub,19,0.004588263,0.002177778,0.005285338,0.021638095,0.000247619,0.00312736,0.001562791,0.003973959,0.01682963,0.000247619,149898.5522,102170.8512,NA,NA,NA,149898.5522
GRNKAN,42947,1,15-20,Quercus kelloggii,Shrub,200,100,120,NA,measured like shrub,AMM,NA,2400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,573.6951404,125.2568666,NA,125.2568666
GRNKAN,42947,1,43388,Ceanothus integerrimus,Shrub,330,220,240,NA,NA,AMM,NA,17424000,Shrub,19,0.004588263,0.002177778,0.005285338,0.021638095,0.000247619,0.00312736,0.001562791,0.003973959,0.01682963,0.000247619,79945.89451,54491.12064,NA,NA,NA,79945.89451
GRNKAN,42947,1,43388,Ceanothus integerrimus,Shrub,350,350,300,NA,NA,AMM,NA,36750000,Shrub,19,0.004588263,0.002177778,0.005285338,0.021638095,0.000247619,0.00312736,0.001562791,0.003973959,0.01682963,0.000247619,168618.6653,114930.48,NA,NA,NA,168618.6653
GRNKAN,42947,1,43388,Ceanothus integerrimus,Shrub,300,200,500,NA,NA,AMM,NA,30000000,Shrub,19,0.004588263,0.002177778,0.005285338,0.021638095,0.000247619,0.00312736,0.001562791,0.003973959,0.01682963,0.000247619,137647.89,93820.8,NA,NA,NA,137647.89
GRNKAN,42947,1,43388,Quercus kelloggii,Shrub,85,95,82,NA,measured like shrub,AMM,NA,662150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.4864223,35.31204432,NA,35.31204432
GRNKAN,42947,1,43388,Quercus kelloggii,Shrub,78,95,66,NA,measured like shrub,AMM,NA,489060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.4864223,35.31204432,NA,35.31204432
GRNKAN,42947,1,20-25,Chamaebatia foliolosa,Shrub,25,40,80,NA,NA,AMM,NA,80000,Shrub,4,0.005340718,0.005514286,0.000428618,0.005623188,0.004711111,0.004390159,0.004326984,0.000189289,0.004666667,0.00424,427.2574,351.2127,NA,NA,NA,427.2574
