site,date,day,trap,trap.type,indID,species,age,sex,breed,recap,weight,body.lgth,tail.lgth,comments,catnum
GRNCAR,2017-09-05,1,F4,L,830,PEMA,A,F,P,N,21,83,59,NA,NA
GRNCAR,2017-09-05,1,B8,L,827,PEMA,A,F,L,N,16,75,73,NA,NA
GRNCAR,2017-09-06,2,E9,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNCAR,2017-09-06,2,J9,S,302,PEMA,A,M,T,N,21,79,72,NA,NA
GRNCAR,2017-09-06,2,G8,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNCAR,2017-09-06,2,D5,S,761,PEMA,A,M,T,N,16,75,67,NA,NA
GRNCAR,2017-09-06,2,B2,L,KING-008,SOTR,A,NA,NA,N,NA,NA,NA,NA,KING-008
GRNCAR,2017-09-06,2,G2,S,830,PEMA,A,F,P,Y,22,67,57,NA,NA
GRNCAR,2017-09-06,2,F3,S,827,PEMA,A,F,L,Y,16,74,68,NA,NA
GRNCAR,2017-09-06,2,F4,L,759,PEMA,A,M,T,N,15,74,67,NA,NA
GRNCAR,2017-09-07,3,J9,S,842,PEMA,A,M,T,N,18,76,71,NA,NA
GRNCAR,2017-09-07,3,J3,S,761,PEMA,A,M,T,Y,15,77,69,NA,NA
GRNCAR,2017-09-07,3,J6,L,830,PEMA,A,F,P,Y,24,77,57,NA,NA
GRNCAR,2017-09-07,3,B2,L,850,PEMA,A,F,P,N,19,83,65,NA,NA
GRNCAR,2017-09-07,3,J1,S,759,PEMA,A,M,T,Y,18,75,75,NA,NA
GRNDAM,2017-08-29,1,A4,S,CLIP-1,SOTR,A,NA,NA,N,5,NA,56,NA,NA
GRNDAM,2017-08-29,1,A6,S,CLIP-2,SOTR,A,NA,NA,N,5,NA,50,appeared to be in shock after release; but recovered quickly,NA
GRNDAM,2017-08-29,1,A7,L,987,PEMA,A,F,P,N,17,81,75,NA,NA
GRNDAM,2017-08-29,1,A10,S,995,PEMA,A,M,T,N,18,80,70,NA,NA
GRNDAM,2017-08-29,1,B10,L,963,PEMA,A,M,T,N,19,82,75,bald patch behind right rear leg,NA
GRNDAM,2017-08-29,1,B1,S,990,PEMA,A,M,T,N,18,77,70,NA,NA
GRNDAM,2017-08-29,1,C1,L,973,PEMA,A,M,T,N,16,76,62,NA,NA
GRNDAM,2017-08-29,1,D10,L,NA,MISS,NA,NA,NA,NA,NA,NA,NA,hole in trap; animal probably escaped,NA
GRNDAM,2017-08-29,1,E1,L,965,PEMA,A,F,N,N,12,75,73,possibly REME,NA
GRNDAM,2017-08-29,1,E8,S,893,PEMA,A,F,P,N,15,77,72,NA,NA
GRNDAM,2017-08-29,1,G10,S,NA,MISS,NA,NA,NA,NA,NA,NA,NA,crooked trap; door partially closed; animal probably escaped,NA
GRNDAM,2017-08-29,1,I1,L,183,PEMA,A,M,T,N,16,80,74,slightly scrotal,NA
GRNDAM,2017-08-29,1,I2,S,886,PEMA,A,M,T,N,18,76,68,NA,NA
GRNDAM,2017-08-29,1,I5,L,897,PEMA,A,F,P,N,13,71,58,NA,NA
GRNDAM,2017-08-30,2,B9,S,995,PEMA,A,M,T,Y,17,76,71,NA,NA
GRNDAM,2017-08-30,2,B7,S,987,PEMA,A,F,P,Y,17,82,73,NA,NA
GRNDAM,2017-08-30,2,B5,S,990,PEMA,A,M,T,Y,16,77,72,NA,NA
GRNDAM,2017-08-30,2,C1,L,965,PEMA,A,F,N,Y,13,73,71,NA,NA
GRNDAM,2017-08-30,2,C7,L,974,PEMA,A,M,N,N,16,78,70,NA,NA
GRNDAM,2017-08-30,2,C9,L,963,PEMA,A,M,T,Y,18,83,71,bald patch,NA
GRNDAM,2017-08-30,2,E1,L,183,PEMA,A,M,T,Y,16,76,73,NA,NA
GRNDAM,2017-08-30,2,E5,L,886,PEMA,A,M,T,Y,16,75,69,slightly scrotal,NA
GRNDAM,2017-08-30,2,I4,S,897,PEMA,A,F,P,Y,12,72,59,NA,NA
GRNDAM,2017-08-30,2,G9,L,893,PEMA,A,F,P,Y,18,80,74,NA,NA
GRNDAM,2017-08-30,2,G2,S,838,PEMA,S,M,N,N,14,72,66,NA,NA
GRNDAM,2017-08-30,2,F2,L,973,PEMA,A,M,T,Y,16,74,62,tiny testes,NA
GRNDAM,2017-08-30,2,F7,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNDAM,2017-08-30,2,F9,S,839,PEMA,A,M,T,N,14,82,68,NA,NA
GRNDAM,2017-08-31,3,A1,L,CLIP-3,SOTR,A,NA,NA,N,4,NA,48,NA,NA
GRNDAM,2017-08-31,3,A3,L,991,NEFU,S,M,N,N,155,NA,NA,NA,NA
GRNDAM,2017-08-31,3,A4,S,NA,SPRU,A,NA,NA,Y,NA,NA,53,dead in trap,KING-171
GRNDAM,2017-08-31,3,A6,S,987,PEMA,A,F,P,Y,17,81,75,NA,NA
GRNDAM,2017-08-31,3,A10,S,995,PEMA,A,M,T,Y,18,80,71,NA,NA
GRNDAM,2017-08-31,3,B10,L,963,PEMA,A,M,T,Y,18,80,74,bald patch,NA
GRNDAM,2017-08-31,3,C1,L,990,PEMA,A,M,T,Y,17,79,72,NA,NA
GRNDAM,2017-08-31,3,G10,S,839,PEMA,A,M,T,Y,13,76,67,NA,NA
GRNDAM,2017-08-31,3,E3,L,965,PEMA,S,F,N,Y,12,80,72,NA,NA
GRNDAM,2017-08-31,3,E8,S,893,PEMA,A,F,P,Y,15,79,72,NA,NA
GRNDAM,2017-08-31,3,F9,S,886,PEMA,A,M,T,Y,18,83,66,NA,NA
GRNDAM,2017-08-31,3,I1,L,838,PEMA,A,M,T,Y,15,74,66,NA,NA
GRNDAM,2017-08-31,3,G1,L,183,PEMA,A,M,T,Y,16,84,73,NA,NA
GRNHOU,2017-07-25,1,J6,L,CLIP-4,SOTR,A,M,T,N,5.5,55,45,NA,NA
GRNHOU,2017-07-25,1,H6,L,103,PEMA,A,M,T,N,16,64,58,aggressive,NA
GRNHOU,2017-07-25,1,G10,S,116,PEMA,A,M,T,N,14,NA,NA,escaped after ear tag,NA
GRNHOU,2017-07-25,1,G6,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNHOU,2017-07-25,1,G3,L,117,PEMA,S,F,N,N,11,70,69,NA,NA
GRNHOU,2017-07-25,1,G1,L,124,PEMA,A,M,T,N,13,58,60,NA,NA
GRNHOU,2017-07-25,1,F2,L,CLIP-5,SOTR,A,NA,NA,N,5,NA,49,NA,NA
GRNHOU,2017-07-25,1,F9,S,402,PEMA,S,F,N,N,10,62,59,very small,NA
GRNHOU,2017-07-25,1,A2,L,193,PEMA,A,M,N,N,15,80,58,NA,NA
GRNHOU,2017-07-25,1,A4,L,177,NEQU,A,M,T,N,83,NA,NA,NA,NA
GRNHOU,2017-07-25,1,A5,S,NA,MISS,NA,NA,NA,NA,NA,NA,NA,not flagged…entire station missing,NA
GRNHOU,2017-07-25,1,A9,L,004,NEQU,A,F,P,N,99,NA,NA,NA,NA
GRNHOU,2017-07-25,1,B5,L,045,PEMA,A,M,N,N,14,70,59,NA,NA
