site,severity,date,day,trap,indID,species,binomial,binomial_short,common_name,family,age,recap,weight,comments
GRNCAR,unb,2017-09-05,1,F4,830,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,21,NA
GRNCAR,unb,2017-09-05,1,B8,827,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,16,NA
GRNCAR,unb,2017-09-06,2,E9,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA
GRNCAR,unb,2017-09-06,2,J9,302,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,21,NA
GRNCAR,unb,2017-09-06,2,G8,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA
GRNCAR,unb,2017-09-06,2,D5,761,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,16,NA
GRNCAR,unb,2017-09-06,2,B2,KING-008,SOTR,Sorex trowbridgii,S. trowbridgii,Trowbridge's shrew,Soricidae,A,N,NA,NA
GRNCAR,unb,2017-09-06,2,G2,830,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,22,NA
GRNCAR,unb,2017-09-06,2,F3,827,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,16,NA
GRNCAR,unb,2017-09-06,2,F4,759,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,15,NA
GRNCAR,unb,2017-09-07,3,J9,842,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,18,NA
GRNCAR,unb,2017-09-07,3,J3,761,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,15,NA
GRNCAR,unb,2017-09-07,3,J6,830,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,24,NA
GRNCAR,unb,2017-09-07,3,B2,850,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,19,NA
GRNCAR,unb,2017-09-07,3,J1,759,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,18,NA
GRNDAM,unb,2017-08-29,1,A4,CLIP-1,SOTR,Sorex trowbridgii,S. trowbridgii,Trowbridge's shrew,Soricidae,A,N,5,NA
GRNDAM,unb,2017-08-29,1,A6,CLIP-2,SOTR,Sorex trowbridgii,S. trowbridgii,Trowbridge's shrew,Soricidae,A,N,5,appeared to be in shock after release; but recovered quickly
GRNDAM,unb,2017-08-29,1,A7,987,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,17,NA
GRNDAM,unb,2017-08-29,1,A10,995,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,18,NA
GRNDAM,unb,2017-08-29,1,B10,963,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,19,bald patch behind right rear leg
GRNDAM,unb,2017-08-29,1,B1,990,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,18,NA
GRNDAM,unb,2017-08-29,1,C1,973,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,16,NA
GRNDAM,unb,2017-08-29,1,D10,NA,MISS,NA,NA,NA,NA,NA,NA,NA,hole in trap; animal probably escaped
GRNDAM,unb,2017-08-29,1,E1,965,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,12,possibly REME
GRNDAM,unb,2017-08-29,1,E8,893,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,15,NA
GRNDAM,unb,2017-08-29,1,G10,NA,MISS,NA,NA,NA,NA,NA,NA,NA,crooked trap; door partially closed; animal probably escaped
GRNDAM,unb,2017-08-29,1,I1,183,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,16,slightly scrotal
GRNDAM,unb,2017-08-29,1,I2,886,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,18,NA
GRNDAM,unb,2017-08-29,1,I5,897,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,13,NA
GRNDAM,unb,2017-08-30,2,B9,995,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,17,NA
GRNDAM,unb,2017-08-30,2,B7,987,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,17,NA
GRNDAM,unb,2017-08-30,2,B5,990,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,16,NA
GRNDAM,unb,2017-08-30,2,C1,965,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,13,NA
GRNDAM,unb,2017-08-30,2,C7,974,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,16,NA
GRNDAM,unb,2017-08-30,2,C9,963,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,18,bald patch
GRNDAM,unb,2017-08-30,2,E1,183,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,16,NA
GRNDAM,unb,2017-08-30,2,E5,886,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,16,slightly scrotal
GRNDAM,unb,2017-08-30,2,I4,897,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,12,NA
GRNDAM,unb,2017-08-30,2,G9,893,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,18,NA
GRNDAM,unb,2017-08-30,2,G2,838,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,N,14,NA
GRNDAM,unb,2017-08-30,2,F2,973,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,16,tiny testes
GRNDAM,unb,2017-08-30,2,F7,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA
GRNDAM,unb,2017-08-30,2,F9,839,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,14,NA
GRNDAM,unb,2017-08-31,3,A1,CLIP-3,SOTR,Sorex trowbridgii,S. trowbridgii,Trowbridge's shrew,Soricidae,A,N,4,NA
GRNDAM,unb,2017-08-31,3,A3,991,NEFU,Neotoma fuscipes,N. fuscipes,Dusky-footed woodrat,Cricetidae,S,N,155,NA
GRNDAM,unb,2017-08-31,3,A4,NA,SPRU,NA,NA,NA,NA,A,Y,NA,dead in trap
GRNDAM,unb,2017-08-31,3,A6,987,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,17,NA
GRNDAM,unb,2017-08-31,3,A10,995,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,18,NA
GRNDAM,unb,2017-08-31,3,B10,963,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,18,bald patch
GRNDAM,unb,2017-08-31,3,C1,990,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,17,NA
GRNDAM,unb,2017-08-31,3,G10,839,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,13,NA
GRNDAM,unb,2017-08-31,3,E3,965,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,Y,12,NA
GRNDAM,unb,2017-08-31,3,E8,893,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,15,NA
GRNDAM,unb,2017-08-31,3,F9,886,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,18,NA
GRNDAM,unb,2017-08-31,3,I1,838,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,15,NA
GRNDAM,unb,2017-08-31,3,G1,183,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,16,NA
GRNHOU,unb,2017-07-25,1,J6,CLIP-4,SOTR,Sorex trowbridgii,S. trowbridgii,Trowbridge's shrew,Soricidae,A,N,5.5,NA
GRNHOU,unb,2017-07-25,1,H6,103,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,16,aggressive
GRNHOU,unb,2017-07-25,1,G10,116,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,14,escaped after ear tag
GRNHOU,unb,2017-07-25,1,G6,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA
GRNHOU,unb,2017-07-25,1,G3,117,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,N,11,NA
GRNHOU,unb,2017-07-25,1,G1,124,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,13,NA
GRNHOU,unb,2017-07-25,1,F2,CLIP-5,SOTR,Sorex trowbridgii,S. trowbridgii,Trowbridge's shrew,Soricidae,A,N,5,NA
GRNHOU,unb,2017-07-25,1,F9,402,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,N,10,very small
GRNHOU,unb,2017-07-25,1,A2,193,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,15,NA
