severity,site,GLSA,NEAM,NEFU,NEQU,NESE,OTBE,PEBO,PEMA,PETR,REME,SOTR
unb,GRNCAR,0,0,0,0,0,0,0,7.023411371237458,0,0,1.0033444816053512
unb,GRNDAM,0,0,1.0101010101010102,0,0,0,0,13.131313131313131,0,0,3.0303030303030307
unb,GRNHOU,1.0118043844856661,0,0,2.0236087689713322,0,0,2.0236087689713322,14.165261382799324,0,0,5.059021922428331
unb,GRNKAN,0,0,0,0,0,0,5.0675675675675675,7.094594594594595,0,2.027027027027027,1.0135135135135136
unb,GRNMAS,1.0291595197255574,0,0,0,0,1.0291595197255574,1.0291595197255574,12.34991423670669,1.0291595197255574,0,4.11663807890223
unb,GRNQUA,0,0,0,0,0,0,0,16.298811544991512,0,0,4.074702886247878
unb,GRNSNO,0,0,0,0,0,0,0,15.280135823429543,0,0,4.074702886247878
unb,GRNTUR,0,0,0,2.13903743315508,0,1.06951871657754,0,10.695187165775401,0,0,1.06951871657754
unb,GRNWOO,0,0,3.1578947368421053,0,0,0,4.2105263157894735,9.473684210526317,0,0,6.315789473684211
mod,MIXBUS,0,0,0,8.43585237258348,0,1.054481546572935,0,13.708260105448156,0,0,0
mod,MIXBUT,0,0,0,1.0434782608695652,0,1.0434782608695652,0,13.565217391304348,0,0,0
mod,MIXDP2,0,0,1.0169491525423728,0,0,0,0,5.084745762711864,0,0,1.0169491525423728
mod,MIXMID,0,0,0,0,1.0084033613445378,0,0,16.134453781512605,0,0,0
mod,MIXMIX,0,0,0,0,0,0,1.0256410256410255,7.17948717948718,0,0,0
mod,MIXMOR,0,0,0,0,6.206896551724138,8.275862068965518,1.0344827586206897,27.931034482758623,0,0,4.137931034482759
mod,MIXRAV,0,0,0,2.1238938053097343,0,0,0,16.991150442477874,0,0,0
mod,MIXRIV,0,3.1141868512110724,0,0,0,1.0380622837370244,0,5.190311418685122,0,0,0
mod,MIXWAT,0,0,0,0,1.0471204188481675,0,0,4.18848167539267,0,0,0
high,HIBADR,0,0,0,0,1.023890784982935,4.09556313993174,0,24.573378839590443,0,0,0
high,HICAMP,0,0,0,0,0,5.905511811023622,1.1811023622047243,15.354330708661417,0,0,0
high,HICORN,0,0,0,0,0,0,0,57.868020304568525,0,0,0
high,HICOWS,0,0,0,0,0,0,2.0725388601036268,13.471502590673575,1.0362694300518134,0,0
high,HIDODD,0,0,0,0,3.1088082901554404,0,1.0362694300518134,31.0880829015544,0,0,0
high,HISHRU,0,1.0507880910683012,0,2.1015761821366024,0,1.0507880910683012,0,24.16812609457093,0,0,0
high,HISQUE,0,0,0,0,0,0,0,13.978494623655914,0,0,0
high,HITEDD,0,0,0,0,0,0,0,27.45762711864407,0,0,0
high,HIWALK,0,0,0,0,0,0,0,17.616580310880828,0,0,0
