site,evc
GRNSNO,105
GRNSNO,105
GRNSNO,105
GRNSNO,106
GRNSNO,105
GRNSNO,105
GRNSNO,103
GRNSNO,103
GRNSNO,105
GRNSNO,105
GRNSNO,105
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,105
GRNSNO,103.99999999999999
GRNSNO,103
GRNSNO,122.00000000000001
GRNSNO,103
GRNSNO,103
GRNSNO,103
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,105
GRNSNO,103.99999999999999
GRNSNO,114.00000000000001
GRNSNO,102
GRNSNO,102
GRNSNO,103
GRNSNO,103
GRNSNO,103
GRNSNO,122.00000000000001
GRNSNO,122.00000000000001
GRNSNO,102
GRNSNO,103
GRNSNO,103
GRNSNO,103
GRNSNO,103
GRNSNO,103
GRNSNO,103
GRNSNO,103
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,105
GRNSNO,103
GRNSNO,102
GRNSNO,122.00000000000001
GRNSNO,122.00000000000001
GRNSNO,122.00000000000001
GRNSNO,103.99999999999999
GRNSNO,103
GRNSNO,106
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,106
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,105
GRNSNO,103.99999999999999
GRNSNO,102
GRNSNO,122.00000000000001
GRNSNO,122.00000000000001
GRNSNO,102
GRNSNO,103
GRNSNO,103.99999999999999
GRNSNO,103
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103
GRNSNO,106
GRNSNO,103
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103
GRNSNO,103
GRNSNO,122.00000000000001
GRNSNO,122.99999999999999
GRNSNO,103
GRNSNO,103.99999999999999
GRNSNO,103
GRNSNO,103
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103
GRNSNO,106
GRNSNO,103.99999999999999
GRNSNO,106
GRNSNO,105
GRNSNO,105
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,122.00000000000001
GRNSNO,99.99999999999999
GRNSNO,102
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103
GRNSNO,105
GRNSNO,105
GRNSNO,105
GRNSNO,105
GRNSNO,105
GRNSNO,105
GRNSNO,105
GRNSNO,103
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103
GRNSNO,103.99999999999999
GRNSNO,102
GRNSNO,102
GRNSNO,103.99999999999999
GRNSNO,102
GRNSNO,102
GRNSNO,103
GRNSNO,103
GRNSNO,105
GRNSNO,105
GRNSNO,105
GRNSNO,105
GRNSNO,105
GRNSNO,105
GRNSNO,103.99999999999999
GRNSNO,103
GRNSNO,103
GRNSNO,103
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103
GRNSNO,102
GRNSNO,103.99999999999999
GRNSNO,122.00000000000001
GRNSNO,103
GRNSNO,103
GRNSNO,105
GRNSNO,105
GRNSNO,105
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,102
GRNSNO,103.99999999999999
GRNSNO,103
GRNSNO,102
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,105
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,105
GRNSNO,103.99999999999999
GRNSNO,105
GRNSNO,103.99999999999999
GRNSNO,102
GRNSNO,103.99999999999999
GRNSNO,122.00000000000001
GRNSNO,102
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,105
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103
GRNSNO,102
GRNSNO,103
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,105
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,105
GRNSNO,103.99999999999999
GRNSNO,105
GRNSNO,105
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,105
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,105
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,105
GRNSNO,103.99999999999999
GRNSNO,105
GRNSNO,105
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,105
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,105
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,122.00000000000001
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,103.99999999999999
GRNSNO,114.99999999999999
GRNSNO,114.99999999999999
GRNSNO,122.00000000000001
GRNSNO,106
GRNSNO,103.99999999999999
GRNSNO,105
GRNSNO,114.99999999999999
GRNSNO,122.00000000000001
GRNSNO,122.00000000000001
GRNSNO,114.99999999999999
GRNSNO,114.99999999999999
GRNSNO,114.99999999999999
GRNSNO,122.00000000000001
GRNSNO,114.99999999999999
GRNSNO,122.00000000000001
GRNSNO,122.00000000000001
GRNQUA,103.99999999999999
GRNQUA,103
GRNQUA,103
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103
GRNQUA,105
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,106
GRNQUA,106
GRNQUA,106
GRNQUA,105
GRNQUA,105
GRNQUA,106
GRNQUA,106
GRNQUA,105
GRNQUA,103.99999999999999
GRNQUA,103
GRNQUA,103.99999999999999
GRNQUA,105
GRNQUA,106
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,105
GRNQUA,103.99999999999999
GRNQUA,105
GRNQUA,103.99999999999999
GRNQUA,103
GRNQUA,103
GRNQUA,103
GRNQUA,103
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103
GRNQUA,106
GRNQUA,103
GRNQUA,103
GRNQUA,103
GRNQUA,103
GRNQUA,103
GRNQUA,106
GRNQUA,103.99999999999999
GRNQUA,103
GRNQUA,103.99999999999999
GRNQUA,103
GRNQUA,114.00000000000001
GRNQUA,114.00000000000001
GRNQUA,114.00000000000001
GRNQUA,103.99999999999999
GRNQUA,106
GRNQUA,103.99999999999999
GRNQUA,103
GRNQUA,103
GRNQUA,103
GRNQUA,103
GRNQUA,103
GRNQUA,103
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103
GRNQUA,103
GRNQUA,105
GRNQUA,103.99999999999999
GRNQUA,103
GRNQUA,103
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,105
GRNQUA,105
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103
GRNQUA,106
GRNQUA,106
GRNQUA,103.99999999999999
GRNQUA,105
GRNQUA,103.99999999999999
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103
GRNQUA,106
GRNQUA,103
GRNQUA,103
GRNQUA,103.99999999999999
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,103.99999999999999
GRNQUA,105
GRNQUA,103.99999999999999
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,106
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,106
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,106
GRNQUA,105
GRNQUA,106
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,105
GRNQUA,106
GRNQUA,105
GRNQUA,103.99999999999999
GRNQUA,105
GRNQUA,105
