site,severity,evt,n
GRNCAR,unb,3027,6
GRNCAR,unb,3028,274
GRNCAR,unb,3031,2
GRNCAR,unb,3152,2
GRNDAM,unb,3027,22
GRNDAM,unb,3028,227
GRNDAM,unb,3031,3
GRNDAM,unb,3152,30
GRNHOU,unb,3028,254
GRNHOU,unb,3031,2
GRNHOU,unb,3152,18
GRNKAN,unb,3027,213
GRNKAN,unb,3028,63
GRNKAN,unb,3098,4
GRNMAS,unb,3027,29
GRNMAS,unb,3028,218
GRNMAS,unb,3031,11
GRNMAS,unb,3034,1
GRNMAS,unb,3098,4
GRNMAS,unb,3221,9
GRNQUA,unb,3028,42
GRNQUA,unb,3029,2
GRNQUA,unb,3031,4
GRNQUA,unb,3032,190
GRNQUA,unb,3098,6
GRNQUA,unb,3152,24
GRNQUA,unb,3221,1
GRNSNO,unb,3028,116
GRNSNO,unb,3031,6
GRNSNO,unb,3032,109
GRNSNO,unb,3098,13
GRNSNO,unb,3126,1
GRNSNO,unb,3152,28
GRNSNO,unb,3221,1
GRNTUR,unb,3028,264
GRNTUR,unb,3031,3
GRNWOO,unb,3027,142
GRNWOO,unb,3028,116
GRNWOO,unb,3031,19
GRNWOO,unb,3152,6
HIBADR,high,3027,109
HIBADR,high,3028,161
HIBADR,high,3029,1
HIBADR,high,3098,2
HICAMP,high,3028,200
HICAMP,high,3031,10
HICAMP,high,3080,1
HICAMP,high,3098,6
HICAMP,high,3152,52
HICAMP,high,3221,3
HICORN,high,3027,14
HICORN,high,3028,144
HICORN,high,3031,119
HICOWS,high,3027,157
HICOWS,high,3028,113
HICOWS,high,3031,1
HIDODD,high,3027,39
HIDODD,high,3028,221
HIDODD,high,3031,12
HIDODD,high,3152,4
HISHRU,high,3027,73
HISHRU,high,3028,170
HISHRU,high,3152,31
HISQUE,high,3027,133
HISQUE,high,3028,129
HISQUE,high,3031,1
HISQUE,high,3152,7
HITEDD,high,3027,127
HITEDD,high,3028,85
HITEDD,high,3031,14
HITEDD,high,3098,6
HITEDD,high,3152,42
HIWALK,high,3027,218
HIWALK,high,3028,49
HIWALK,high,3031,5
HIWALK,high,3098,1
MIXBUS,mod,3027,9
MIXBUS,mod,3028,221
MIXBUS,mod,3031,12
MIXBUS,mod,3098,31
MIXBUT,mod,3028,179
MIXBUT,mod,3029,1
MIXBUT,mod,3031,9
MIXBUT,mod,3032,87
MIXBUT,mod,3034,1
MIXBUT,mod,3221,1
MIXDP2,mod,3002,4
MIXDP2,mod,3027,189
MIXDP2,mod,3028,461
MIXDP2,mod,3030,2
MIXDP2,mod,3031,13
MIXDP2,mod,3034,1
MIXDP2,mod,3126,2
MIXMID,mod,3002,3
MIXMID,mod,3027,91
MIXMID,mod,3028,172
MIXMID,mod,3031,11
MIXMID,mod,3221,1
MIXMIX,mod,3028,269
MIXMIX,mod,3138,2
MIXMOR,mod,3027,35
MIXMOR,mod,3028,209
MIXMOR,mod,3031,26
MIXMOR,mod,3138,2
MIXRAV,mod,3027,26
MIXRAV,mod,3028,248
MIXRAV,mod,3152,2
MIXRIV,mod,3027,24
MIXRIV,mod,3028,206
MIXRIV,mod,3031,1
MIXRIV,mod,3152,46
MIXWAT,mod,3027,40
MIXWAT,mod,3028,222
MIXWAT,mod,3029,5
MIXWAT,mod,3031,1
MIXWAT,mod,3098,1
MIXWAT,mod,3152,1
