sites_aea.site,x,y
GRNCAR,-2084868.8290231284,2046769.4998641678
GRNDAM,-2075071.8380625676,2049511.7222545955
GRNHOU,-2070272.7231397538,2040559.4261247905
GRNKAN,-2092241.004935119,2044505.1676027265
GRNMAS,-2071150.8194845226,2040135.5122626307
GRNQUA,-2068640.9257848905,2052529.2889265367
GRNSNO,-2069165.7752306801,2052388.7446175804
GRNTUR,-2070969.0074642994,2041069.4395460538
GRNWOO,-2087620.9344177702,2042660.1420862863
HIBADR,-2072421.2667898424,2047954.40700638
HICAMP,-2070447.0567300818,2050493.7411258717
HICORN,-2078470.2596251671,2043485.93305352
HICOWS,-2084283.657185226,2040352.231312205
HIDODD,-2081062.770687203,2042467.2963442109
HISHRU,-2073533.101573643,2046742.8049170705
HISQUE,-2083531.6674201884,2039897.4740251068
HITEDD,-2080776.6469991002,2041055.4739881852
HIWALK,-2084061.9848724748,2040536.721201131
MIXBUS,-2070529.5940271378,2041785.3582909394
MIXBUT,-2070423.2053252924,2052016.687564221
MIXDP2,-2084397.2328844876,2041282.78889582
MIXMID,-2084040.4566859375,2041585.1402153363
MIXMIX,-2073676.5395825864,2041933.0558273175
MIXMOR,-2072334.8230709727,2041412.47782255
MIXRAV,-2083467.7358290253,2041994.2246939032
MIXRIV,-2072962.0701065965,2049971.0549323033
MIXWAT,-2073671.7319322138,2050151.761871913
