block,severity,site,shrub_cover,forb_grass_cover,litter_cover,live_tree_density,soft_cwd_volume,tree_survival,pca_score
belt,unb,GRNHOU,0,2.75,94.75,560,19.578827730661015,0.8,-2.5487020529903206
belt,unb,GRNMAS,14.05,10.3,87.6,413.3333333333333,10.046887170143924,0.9393939393939394,-1.4411985482442922
belt,unb,GRNTUR,0.9,2.2,87.2,280,53.91271404095062,0.7777777777777778,-1.3391995970154023
dp,unb,GRNCAR,2.35,0,95.3,293.3333333333333,35.36402626965331,0.5945945945945946,-1.496659197520851
dp,unb,GRNKAN,0.95,3.2,97.6,300,0,1,-1.6073031038436176
dp,unb,GRNWOO,0.7,0.95,93.85,160,5.604084748993552,0.6153846153846154,-1.0243610023268015
hm,unb,GRNDAM,0.2,0.7,98.5,313.3333333333333,21.5003163374981,0.734375,-1.6966065164472592
hm,unb,GRNQUA,26.7,3.65,84.8,286.6666666666667,21.250491976095525,0.7962962962962963,-0.532376703310515
hm,unb,GRNSNO,23.45,10,97.4,273.33333333333337,2.172855093927329,1,-0.818557933575277
belt,mod,MIXBUS,0.3,3.05,93.25,100,39.092886182439884,0.2459016393442623,-0.8023716575699609
belt,mod,MIXMIX,4.35,1.95,89.7,106.66666666666666,9.783245362579827,0.7619047619047619,-0.6370024354841923
belt,mod,MIXMOR,16.85,10.1,70.5,80,3.0054179101867238,0.5217391304347826,0.20373110115432894
dp,mod,MIXDP2,24.85,5.55,81.15,226.66666666666669,0,0.4722222222222222,-0.29730863799502877
dp,mod,MIXMID,6.1,2.2,76.9,153.33333333333331,0,0.8214285714285714,-0.5166342546603261
dp,mod,MIXRAV,12.1,12.1,94.4,20,13.546032040495144,0.08108108108108109,-0.16702546084248532
hm,mod,MIXBUT,0.5,6.1,90.25,40,0,0.08571428571428572,-0.517016725575695
hm,mod,MIXRIV,0.55,6.8,83.75,166.66666666666666,78.67616833355889,0.4166666666666667,-0.8640135566435458
hm,mod,MIXWAT,1.05,2.65,64.85,293.3333333333333,0,0.5866666666666667,-0.9644071504674678
belt,high,HICORN,46.7,0.7,49.95,0,0,0,1.7968827519094843
belt,high,HIDODD,34.05,4.95,18.95,0,8.094617734580943,0,1.9934579939595034
belt,high,HITEDD,47.15,4.15,13,0,0,0,2.5045605739958043
dp,high,HICOWS,40.85,1.75,12.05,0,5.799934711327668,0,2.3303461602891336
dp,high,HISQUE,29,4.3,17.95,0,0,0,1.8582890616762262
dp,high,HIWALK,24.35,1.05,25.1,0,0,0,1.5822486932316133
hm,high,HIBADR,43.5,5.95,23.95,0,0,0,2.1876373888245384
hm,high,HICAMP,6.2,21.275,21.35,0,21.00529399175596,0,1.0993722476382595
hm,high,HISHRU,61.3,25.95,78.05,0,28.93182002638085,0,1.714218561834143
