site,severity,evc,n
GRNCAR,unb,101,2
GRNCAR,unb,102,7
GRNCAR,unb,103,16
GRNCAR,unb,104,24
GRNCAR,unb,105,34
GRNCAR,unb,106,128
GRNCAR,unb,107,73
GRNDAM,unb,102,1
GRNDAM,unb,103,17
GRNDAM,unb,104,27
GRNDAM,unb,105,36
GRNDAM,unb,106,65
GRNDAM,unb,107,123
GRNDAM,unb,108,13
GRNHOU,unb,104,24
GRNHOU,unb,105,121
GRNHOU,unb,106,127
GRNHOU,unb,107,2
GRNKAN,unb,103,13
GRNKAN,unb,104,68
GRNKAN,unb,105,88
GRNKAN,unb,106,32
GRNKAN,unb,107,77
GRNKAN,unb,108,2
GRNMAS,unb,100,9
GRNMAS,unb,101,3
GRNMAS,unb,102,46
GRNMAS,unb,103,71
GRNMAS,unb,104,95
GRNMAS,unb,105,33
GRNMAS,unb,106,10
GRNMAS,unb,107,1
GRNMAS,unb,114,1
GRNMAS,unb,115,3
GRNQUA,unb,100,1
GRNQUA,unb,102,2
GRNQUA,unb,103,40
GRNQUA,unb,104,112
GRNQUA,unb,105,89
GRNQUA,unb,106,19
GRNQUA,unb,114,4
GRNQUA,unb,122,2
GRNSNO,unb,100,1
GRNSNO,unb,102,17
GRNSNO,unb,103,45
GRNSNO,unb,104,130
GRNSNO,unb,105,46
GRNSNO,unb,106,7
GRNSNO,unb,114,1
GRNSNO,unb,115,7
GRNSNO,unb,122,19
GRNSNO,unb,123,1
GRNTUR,unb,101,4
GRNTUR,unb,102,4
GRNTUR,unb,103,14
GRNTUR,unb,104,78
GRNTUR,unb,105,107
GRNTUR,unb,106,51
GRNTUR,unb,107,1
GRNTUR,unb,115,8
GRNWOO,unb,103,3
GRNWOO,unb,104,18
GRNWOO,unb,105,74
GRNWOO,unb,106,137
GRNWOO,unb,107,51
HIBADR,high,103,3
HIBADR,high,115,268
HIBADR,high,122,2
HICAMP,high,100,3
HICAMP,high,102,21
HICAMP,high,103,21
HICAMP,high,104,26
HICAMP,high,105,28
HICAMP,high,106,3
HICAMP,high,115,128
HICAMP,high,122,41
HICAMP,high,125,1
HICORN,high,103,2
HICORN,high,104,2
HICORN,high,105,4
HICORN,high,115,269
HICOWS,high,115,271
HIDODD,high,102,1
HIDODD,high,103,5
HIDODD,high,115,266
HIDODD,high,122,4
HISHRU,high,103,2
HISHRU,high,115,241
HISHRU,high,122,31
HISQUE,high,102,1
HISQUE,high,103,19
HISQUE,high,104,6
HISQUE,high,105,4
HISQUE,high,115,233
HISQUE,high,122,7
HITEDD,high,102,7
HITEDD,high,103,6
HITEDD,high,115,216
HITEDD,high,122,45
HIWALK,high,102,1
HIWALK,high,103,1
HIWALK,high,115,270
HIWALK,high,122,1
MIXBUS,mod,102,34
MIXBUS,mod,103,16
MIXBUS,mod,104,54
MIXBUS,mod,105,152
MIXBUS,mod,106,3
MIXBUS,mod,115,14
MIXBUT,mod,100,1
MIXBUT,mod,102,9
MIXBUT,mod,103,35
MIXBUT,mod,104,83
MIXBUT,mod,105,72
MIXBUT,mod,106,14
MIXBUT,mod,115,25
MIXBUT,mod,122,39
MIXDP2,mod,100,4
MIXDP2,mod,101,1
MIXDP2,mod,102,38
MIXDP2,mod,103,59
MIXDP2,mod,104,62
MIXDP2,mod,105,106
MIXDP2,mod,106,34
MIXDP2,mod,115,366
MIXDP2,mod,123,2
MIXMID,mod,100,4
MIXMID,mod,101,2
MIXMID,mod,102,43
MIXMID,mod,103,37
MIXMID,mod,104,48
MIXMID,mod,105,98
MIXMID,mod,106,13
MIXMID,mod,115,33
MIXMIX,mod,102,5
MIXMIX,mod,103,27
MIXMIX,mod,104,75
MIXMIX,mod,105,153
MIXMIX,mod,106,1
MIXMIX,mod,115,8
MIXMIX,mod,122,2
MIXMOR,mod,102,52
MIXMOR,mod,103,86
MIXMOR,mod,104,108
MIXMOR,mod,105,17
MIXMOR,mod,106,3
MIXMOR,mod,115,4
MIXMOR,mod,122,2
MIXRAV,mod,101,5
MIXRAV,mod,102,12
MIXRAV,mod,103,14
MIXRAV,mod,104,54
MIXRAV,mod,105,147
MIXRAV,mod,106,13
MIXRAV,mod,115,30
MIXRAV,mod,122,1
MIXRIV,mod,102,4
MIXRIV,mod,103,20
MIXRIV,mod,104,41
MIXRIV,mod,105,168
MIXRIV,mod,106,22
MIXRIV,mod,115,22
MIXWAT,mod,102,5
MIXWAT,mod,103,9
MIXWAT,mod,104,29
MIXWAT,mod,105,100
MIXWAT,mod,106,97
MIXWAT,mod,107,4
MIXWAT,mod,115,25
MIXWAT,mod,122,1
