site,evc
GRNSNO,104.9999999998991
GRNSNO,105
GRNSNO,105
GRNSNO,105.99999999973612
GRNSNO,104.99999999990686
GRNSNO,105
GRNSNO,103.00000000389603
GRNSNO,103.00000000000001
GRNSNO,104.9999999994412
GRNSNO,104.99999999931703
GRNSNO,104.99999999975167
GRNSNO,104.00000000009314
GRNSNO,104.00000000015523
GRNSNO,104.9999999996818
GRNSNO,104.00000000211875
GRNSNO,102.99999999995343
GRNSNO,121.99999999867288
GRNSNO,103.00000000176952
GRNSNO,103.00000000427633
GRNSNO,102.99999999991464
GRNSNO,103.99999999968955
GRNSNO,103.99999999977491
GRNSNO,104.99999999967403
GRNSNO,103.99999999986807
GRNSNO,113.99999999851765
GRNSNO,102.00000000138921
GRNSNO,102.00000000003881
GRNSNO,103.00000000015521
GRNSNO,103.00000000040357
GRNSNO,103
GRNSNO,121.99999999232436
GRNSNO,122
GRNSNO,102.00000000527749
GRNSNO,103.00000000376409
GRNSNO,103.00000000024835
GRNSNO,103
GRNSNO,103.00000000032597
GRNSNO,103.00000000030269
GRNSNO,103.0000000002018
GRNSNO,103.00000000020178
GRNSNO,103.99999999995343
GRNSNO,103.99999999999999
GRNSNO,104.99999999993015
GRNSNO,103.0000000000776
GRNSNO,102.0000000000388
GRNSNO,121.9999999992239
GRNSNO,122
GRNSNO,121.99999999736126
GRNSNO,104.00000000135041
GRNSNO,103.00000000051222
GRNSNO,105.99999999892897
GRNSNO,104.00000000013969
GRNSNO,104
GRNSNO,103.99999999996119
GRNSNO,105.99999999987581
GRNSNO,103.99999999999999
GRNSNO,104.00000000000001
GRNSNO,103.99999999983702
GRNSNO,104.99999999932479
GRNSNO,104.00000000201011
GRNSNO,102.00000000651148
GRNSNO,121.99999999622815
GRNSNO,121.99999999888243
GRNSNO,102.0000000013504
GRNSNO,102.99999999993791
GRNSNO,103.99999999989133
GRNSNO,103.00000000024059
GRNSNO,103.99999999990686
GRNSNO,104.00000000012417
GRNSNO,103.0000000001397
GRNSNO,105.99999999960419
GRNSNO,103.00000000047342
GRNSNO,104
GRNSNO,103.99999999999999
GRNSNO,103.00000000014747
GRNSNO,103.00000000265426
GRNSNO,121.99999999193632
GRNSNO,122.99999999302283
GRNSNO,103.00000000142803
GRNSNO,103.9999999999379
GRNSNO,103.0000000001397
GRNSNO,103.00000000023283
GRNSNO,103.99999999963522
GRNSNO,104.00000000009312
GRNSNO,103.00000000058208
GRNSNO,105.99999999934806
GRNSNO,104.00000000015523
GRNSNO,105.99999999965851
GRNSNO,105.00000000008536
GRNSNO,105
GRNSNO,103.999999999837
GRNSNO,103.99999999999999
GRNSNO,104.00000000000001
GRNSNO,103.99999999979045
GRNSNO,121.99999999790452
GRNSNO,100.00000000419095
GRNSNO,101.99999999992238
GRNSNO,103.9999999997982
GRNSNO,103.9999999995809
