site,severity,evh,n
GRNCAR,unb,110,52
GRNCAR,unb,111,232
GRNDAM,unb,110,60
GRNDAM,unb,111,222
GRNHOU,unb,110,40
GRNHOU,unb,111,234
GRNKAN,unb,104,4
GRNKAN,unb,110,86
GRNKAN,unb,111,190
GRNMAS,unb,100,9
GRNMAS,unb,106,4
GRNMAS,unb,108,1
GRNMAS,unb,109,12
GRNMAS,unb,110,193
GRNMAS,unb,111,53
GRNQUA,unb,100,1
GRNQUA,unb,106,6
GRNQUA,unb,110,55
GRNQUA,unb,111,207
GRNSNO,unb,100,1
GRNSNO,unb,104,2
GRNSNO,unb,106,12
GRNSNO,unb,108,7
GRNSNO,unb,109,2
GRNSNO,unb,110,101
GRNSNO,unb,111,149
GRNTUR,unb,110,40
GRNTUR,unb,111,227
GRNWOO,unb,110,13
GRNWOO,unb,111,270
HIBADR,high,106,2
HIBADR,high,110,36
HIBADR,high,111,235
HICAMP,high,100,3
HICAMP,high,104,1
HICAMP,high,106,6
HICAMP,high,109,1
HICAMP,high,110,201
HICAMP,high,111,60
HICORN,high,110,165
HICORN,high,111,112
HICOWS,high,110,91
HICOWS,high,111,180
HIDODD,high,110,52
HIDODD,high,111,224
HISHRU,high,110,50
HISHRU,high,111,224
HISQUE,high,108,5
HISQUE,high,110,108
HISQUE,high,111,157
HITEDD,high,106,6
HITEDD,high,108,9
HITEDD,high,109,1
HITEDD,high,110,186
HITEDD,high,111,72
HIWALK,high,106,1
HIWALK,high,108,5
HIWALK,high,109,1
HIWALK,high,110,190
HIWALK,high,111,76
MIXBUS,mod,104,31
MIXBUS,mod,109,1
MIXBUS,mod,110,12
MIXBUS,mod,111,229
MIXBUT,mod,100,1
MIXBUT,mod,108,1
MIXBUT,mod,110,78
MIXBUT,mod,111,198
MIXDP2,mod,100,4
MIXDP2,mod,104,2
MIXDP2,mod,108,12
MIXDP2,mod,109,8
MIXDP2,mod,110,385
MIXDP2,mod,111,261
MIXMID,mod,100,4
MIXMID,mod,108,5
MIXMID,mod,109,6
MIXMID,mod,110,144
MIXMID,mod,111,119
MIXMIX,mod,102,2
MIXMIX,mod,110,28
MIXMIX,mod,111,241
MIXMOR,mod,102,2
MIXMOR,mod,108,1
MIXMOR,mod,109,2
MIXMOR,mod,110,212
MIXMOR,mod,111,55
MIXRAV,mod,108,2
MIXRAV,mod,110,35
MIXRAV,mod,111,239
MIXRIV,mod,110,49
MIXRIV,mod,111,228
MIXWAT,mod,106,1
MIXWAT,mod,109,1
MIXWAT,mod,110,52
MIXWAT,mod,111,216
