site,severity,evt,n
GRNCAR,unb,7028,283
GRNCAR,unb,9129,1
GRNDAM,unb,7027,4
GRNDAM,unb,7028,261
GRNDAM,unb,7030,2
GRNDAM,unb,7097,1
GRNDAM,unb,7098,1
GRNDAM,unb,9129,13
GRNHOU,unb,7028,256
GRNHOU,unb,9129,18
GRNKAN,unb,7027,16
GRNKAN,unb,7028,260
GRNKAN,unb,7030,3
GRNKAN,unb,7105,1
GRNMAS,unb,7027,15
GRNMAS,unb,7028,219
GRNMAS,unb,7029,2
GRNMAS,unb,7030,9
GRNMAS,unb,7098,18
GRNMAS,unb,9213,9
GRNQUA,unb,7028,36
GRNQUA,unb,7032,206
GRNQUA,unb,7058,3
GRNQUA,unb,7196,4
GRNQUA,unb,7197,2
GRNQUA,unb,9129,17
GRNQUA,unb,9213,1
GRNSNO,unb,7028,89
GRNSNO,unb,7032,128
GRNSNO,unb,7098,5
GRNSNO,unb,7195,8
GRNSNO,unb,7196,8
GRNSNO,unb,7197,15
GRNSNO,unb,9129,20
GRNSNO,unb,9213,1
GRNTUR,unb,7028,252
GRNTUR,unb,7030,1
GRNTUR,unb,7098,2
GRNTUR,unb,7192,7
GRNTUR,unb,7193,1
GRNTUR,unb,7197,4
GRNWOO,unb,7028,265
GRNWOO,unb,7193,1
GRNWOO,unb,7195,6
GRNWOO,unb,7199,1
GRNWOO,unb,7200,10
HIBADR,high,7195,235
HIBADR,high,7196,38
HICAMP,high,7027,4
HICAMP,high,7028,21
HICAMP,high,7030,4
HICAMP,high,7098,7
HICAMP,high,7195,112
HICAMP,high,7196,101
HICAMP,high,7197,17
HICAMP,high,9129,1
HICAMP,high,9213,3
HICAMP,high,9301,1
HICAMP,high,9629,1
HICORN,high,7098,3
HICORN,high,7195,218
HICORN,high,7196,56
HICOWS,high,7195,68
HICOWS,high,7196,203
HIDODD,high,7195,236
HIDODD,high,7196,40
HISHRU,high,7195,248
HISHRU,high,7196,26
HISQUE,high,7191,6
HISQUE,high,7195,120
HISQUE,high,7196,144
HITEDD,high,7195,237
HITEDD,high,7196,37
HIWALK,high,7195,74
HIWALK,high,7196,199
MIXBUS,mod,7028,186
MIXBUS,mod,7192,6
MIXBUS,mod,7193,25
MIXBUS,mod,7195,5
MIXBUS,mod,7196,25
MIXBUS,mod,7197,26
MIXBUT,mod,7028,29
MIXBUT,mod,7032,85
MIXBUT,mod,7098,8
MIXBUT,mod,7195,52
MIXBUT,mod,7196,57
MIXBUT,mod,7197,46
MIXBUT,mod,9213,1
MIXDP2,mod,7027,4
MIXDP2,mod,7028,118
MIXDP2,mod,7105,5
MIXDP2,mod,7195,215
MIXDP2,mod,7196,230
MIXDP2,mod,7197,92
MIXDP2,mod,9213,4
MIXDP2,mod,9301,4
MIXMID,mod,7028,181
MIXMID,mod,7098,1
MIXMID,mod,7105,3
MIXMID,mod,7195,25
MIXMID,mod,7196,24
MIXMID,mod,7197,39
MIXMID,mod,9213,4
MIXMID,mod,9301,1
MIXMIX,mod,7028,239
MIXMIX,mod,7032,2
MIXMIX,mod,7195,1
MIXMIX,mod,7196,7
MIXMIX,mod,7197,22
MIXMOR,mod,7028,237
MIXMOR,mod,7098,1
MIXMOR,mod,7195,2
MIXMOR,mod,7196,7
MIXMOR,mod,7197,25
MIXRAV,mod,7027,3
MIXRAV,mod,7028,81
MIXRAV,mod,7105,23
MIXRAV,mod,7191,2
MIXRAV,mod,7192,27
MIXRAV,mod,7195,40
MIXRAV,mod,7196,48
MIXRAV,mod,7197,50
MIXRAV,mod,9301,2
MIXRIV,mod,7028,140
MIXRIV,mod,7105,2
MIXRIV,mod,7195,5
MIXRIV,mod,7196,33
MIXRIV,mod,7197,69
MIXRIV,mod,9129,28
MIXWAT,mod,7027,2
MIXWAT,mod,7028,201
MIXWAT,mod,7029,1
MIXWAT,mod,7098,1
MIXWAT,mod,7105,1
MIXWAT,mod,7195,11
MIXWAT,mod,7196,20
MIXWAT,mod,7197,32
MIXWAT,mod,9301,1
