site,severity,biomass_total,FRic,FDiv,FEve,FDis
GRNCAR,unb,133.17708333333334,NA,NA,NA,0.09785314331329613
GRNDAM,unb,218.83333333333334,NA,NA,NA,0.13629544961494813
GRNHOU,unb,496.6770833333333,0.01844450541418772,0.913962867560129,0.5968987319965072,0.20024032623363622
GRNKAN,unb,251.51041666666669,0.011118239122802895,0.6404470811883906,0.48264784763305557,0.08744949937752054
GRNMAS,unb,672.5208333333334,0.1761629907468127,0.766214842886293,0.4646805374798603,0.2082369162563955
GRNQUA,unb,314.1875,NA,NA,NA,0.1431451696468789
GRNSNO,unb,257.66666666666663,NA,NA,NA,0.1486965058658714
GRNTUR,unb,925.6666666666666,0.20172331707729446,0.8866739426442513,0.6885810004944045,0.23152057455905004
GRNWOO,unb,584.34375,0.011118239122802895,0.7462577935309967,0.7101207582978271,0.20031768574253617
HIBADR,high,829.9714548802947,0.23446735253929163,0.9883021007113063,0.3279123627527367,0.21119730084275
HICAMP,high,2468,0.01195014082183261,0.7560015072600705,0.2727206596620657,0.3095754993743483
HICORN,high,926.8333333333334,NA,NA,NA,0
HICOWS,high,254.66666666666666,NA,NA,NA,0.023535207973342676
HIDODD,high,659.1178637200737,0.014280056433879532,0.6381503636693805,0.10822523183395139,0.08779091636134959
HISHRU,high,1233,0.19696087103841176,0.9641236874344743,0.22321194974001046,0.12233419963842143
HISQUE,high,231.68692449355433,NA,NA,NA,0
HITEDD,high,431.1178637200737,NA,NA,NA,0
HIWALK,high,338.6666666666667,NA,NA,NA,0
MIXBUS,mod,1035.5,0.19696087103841176,0.8350972790044007,0.6194201365680176,0.2648168057895657
MIXBUT,mod,797.3333333333334,0.19696087103841176,0.9688462100252793,0.2601971671200418,0.14966513353347097
MIXDP2,mod,180.33333333333331,NA,NA,NA,0.12425795976291569
MIXMID,mod,192.16666666666666,NA,NA,NA,0.058925259721776924
MIXMIX,mod,143.16666666666666,NA,NA,NA,0.022276413796883852
MIXMOR,mod,2992.1770833333335,0.24641749336112426,0.8657074839121308,0.6245154928120824,0.30959920754765374
MIXRAV,mod,440.1178637200737,NA,NA,NA,0.10141515910916603
MIXRIV,mod,509.1666666666667,NA,NA,NA,0.22203884134488439
MIXWAT,mod,147,NA,NA,NA,0.1702940005959354
