site,severity,n,effort,n_adj,n_adj_pema,n_adj_sotr
GRNCAR,unb,8,299,8.02675585284281,7.035175879396984,1.015228426395939
GRNDAM,unb,17,297,17.171717171717173,13.220338983050848,3.103448275862069
GRNHOU,unb,24,296.5,24.283305227655987,14.408233276157803,5.2264808362369335
GRNKAN,unb,15,296,15.202702702702704,7.191780821917808,1.0380622837370244
GRNMAS,unb,20,291.5,20.58319039451115,12.521739130434783,4.232804232804233
GRNQUA,unb,20,294.5,20.37351443123939,16.41025641025641,4.18848167539267
GRNSNO,unb,19,294.5,19.35483870967742,15.384615384615383,4.181184668989547
GRNTUR,unb,14,280.5,14.973262032085561,10.771992818671455,1.094890510948905
GRNWOO,unb,22,285,23.157894736842106,9.694793536804308,6.498194945848375
HIBADR,high,29,293,29.69283276450512,24.784853700516354,0
HICAMP,high,19,254,22.440944881889767,15.53784860557769,0
HICORN,high,57,295.5,57.868020304568525,57.868020304568525,0
HICOWS,high,16,289.5,16.580310880829014,13.541666666666666,0
HIDODD,high,34,289.5,35.233160621761655,31.304347826086953,0
HISHRU,high,27,285.5,28.371278458844134,24.33862433862434,0
HISQUE,high,13,279,13.978494623655914,13.978494623655914,0
HITEDD,high,27,295,27.45762711864407,27.45762711864407,0
HIWALK,high,17,289.5,17.616580310880828,17.616580310880828,0
MIXBUS,mod,22,284.5,23.198594024604567,13.928571428571429,0
MIXBUT,mod,15,287.5,15.652173913043477,13.612565445026178,0
MIXDP2,mod,7,295,7.118644067796611,5.102040816326531,1.0273972602739725
MIXMID,mod,17,297.5,17.142857142857142,16.161616161616163,0
MIXMIX,mod,8,292.5,8.205128205128204,7.191780821917808,0
MIXMOR,mod,46,290,47.58620689655173,28.87700534759358,4.4609665427509295
MIXRAV,mod,18,282.5,19.115044247787612,17.05150976909414,0
MIXRIV,mod,9,289,9.342560553633218,5.2264808362369335,0
MIXWAT,mod,5,286.5,5.2356020942408374,4.195804195804196,0
