site,severity,avg_pixel,dist_to_edge,tree_bm,shrub_bm,grass_bm,forb_bm,tree_density,tree_survival,veg_cover,litter_cover,cwd_volume,tree_H,shrub_H,forb_H,fire_score,biomass_score,diversity_score
GRNCAR,unb,0,-3723.644574667105,34.99840139622667,312.63068094,0,0,0.04933333333333333,0.5945945945945946,6.25,95.3,0.545604068297721,0.829125615014157,0,0,0.19400517373182677,-1.5340181002512217,-2.050420493638429
GRNDAM,unb,0,-371.3489783940457,52.46522572870667,0,0.20988618335,8.270503807299999,0.042666666666666665,0.734375,10.615384615384615,98.5,0.4842274659284467,1.7143045696276773,0,0,1.6437877108469356,3.4373470027250104,0.23721142562296896
GRNHOU,unb,0,-557.5164217729651,74.66858609939334,0,3.6205366623,11.832660003600001,0.07,0.8,9.076923076923077,94.75,0.44567432373669136,1.0832039566414533,0,1.3862943611198906,-2.38874495481425,-1.1565512755482934,-1.7835640525887166
GRNKAN,unb,0,-4770.413861931034,25.90328808468,1178.1321483072202,1.7630439399,11.0964608973,0.03,1,9.75,97.6,0,0.6869615765973234,1.1499171377909299,1.5229550675313184,0.8664210270479543,-0.5040069146023431,-0.5360650761421379
GRNMAS,unb,0,-1053.7567150116936,18.575223741366667,2304.705232814,5.047762709000001,64.2721975769,0.044,0.9393939393939394,34.166666666666664,87.6,0.23378625425080418,1.1652652343888308,0.7175045098358934,1.0397207708399179,-1.521902818550672,-1.572711199095044,-2.56091810677865
GRNQUA,unb,0.3903345724907063,-113.38164783920669,30.63298084763333,2875.81977105,0.50372684,29.9909624915,0.036,0.7962962962962963,37.78947368421053,89.26315789473684,0.5567073732489467,0.11045304667259806,1.3118105343807827,0.9743147528693494,1.2013474372393862,0.9336640264617517,1.5057771083552411
GRNSNO,unb,1.4452554744525548,-102.53350419134514,26.57805975634667,2482.5916331092,9.33993515835,91.85729038865,0.027333333333333334,1,43.68421052631579,97.4,0.08173266144652125,0.74632053979767,0.8343682725599781,1.9915093613566137,2.1862773121063337,0.6126986753938405,1.2791402421255167
GRNTUR,unb,0.40074906367041196,-165.57968131258855,27.362853761079997,621.3775394940001,0,5.78112473915,0.036,0.7777777777777778,11.083333333333334,87.2,0.3115093889093829,0.9989405268004004,0.9002560512685369,0.6931471805599453,-1.6813588309482599,-1.9792387975521284,-0.7263172319523815
GRNWOO,unb,0,-2133.2621941070206,20.81140744244,0,1.98342443245,2.51908688335,0.026,0.6153846153846154,7.352941176470588,93.85,0.4526138893312073,1.451700379090459,0,1.0042424730540764,0.5251151190184566,-0.29398329944545776,0.23619024104616754
MIXBUS,mod,2.0256410256410255,245.69607351614343,57.195091053666665,5.283330339400001,0.4092780575,31.684540616049997,0.040666666666666663,0.2459016393442623,6,93.25,0.41328968429561685,1.5292482930376914,0,0.37677016125643675,-1.284356150832011,0.32994359835861514,1.025910237982438
