site,severity,GLSA,NEAM,NEFU,NEQU,NESE,OTBE,PEBO,PEMA,PETR,REME,SOTR
GRNCAR,unb,0,0,0,0,0,0,0,7,0,0,1
GRNDAM,unb,0,0,1,0,0,0,0,13,0,0,3
GRNHOU,unb,1,0,0,2,0,0,2,14,0,0,5
GRNKAN,unb,0,0,0,0,0,0,5,7,0,2,1
GRNMAS,unb,1,0,0,0,0,1,1,12,1,0,4
GRNQUA,unb,0,0,0,0,0,0,0,16,0,0,4
GRNSNO,unb,0,0,0,0,0,0,0,15,0,0,4
GRNTUR,unb,0,0,0,2,0,1,0,10,0,0,1
GRNWOO,unb,0,0,3,0,0,0,4,9,0,0,6
MIXBUS,mod,0,0,0,8,0,1,0,13,0,0,0
MIXBUT,mod,0,0,0,1,0,1,0,13,0,0,0
MIXDP2,mod,0,0,1,0,0,0,0,5,0,0,1
MIXMID,mod,0,0,0,0,1,0,0,16,0,0,0
MIXMIX,mod,0,0,0,0,0,0,1,7,0,0,0
MIXMOR,mod,0,0,0,0,6,8,1,27,0,0,4
MIXRAV,mod,0,0,0,2,0,0,0,16,0,0,0
MIXRIV,mod,0,3,0,0,0,1,0,5,0,0,0
MIXWAT,mod,0,0,0,0,1,0,0,4,0,0,0
HIBADR,high,0,0,0,0,1,4,0,24,0,0,0
HICAMP,high,0,0,0,0,0,5,1,13,0,0,0
HICORN,high,0,0,0,0,0,0,0,57,0,0,0
HICOWS,high,0,0,0,0,0,0,2,13,1,0,0
HIDODD,high,0,0,0,0,3,0,1,30,0,0,0
HISHRU,high,0,1,0,2,0,1,0,23,0,0,0
HISQUE,high,0,0,0,0,0,0,0,13,0,0,0
HITEDD,high,0,0,0,0,0,0,0,27,0,0,0
HIWALK,high,0,0,0,0,0,0,0,17,0,0,0
