site,severity,date,trap,indID,species,binomial,binomial_short,family,age,recap,weight,comments
GRNCAR,unb,2017-09-07,J9,842,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,18,NA
GRNCAR,unb,2017-09-07,J3,761,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,15,NA
GRNCAR,unb,2017-09-07,J6,830,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,24,NA
GRNCAR,unb,2017-09-07,B2,850,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,19,NA
GRNCAR,unb,2017-09-07,J1,759,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,18,NA
GRNDAM,unb,2017-08-31,A1,CLIP-3,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,N,4,NA
GRNDAM,unb,2017-08-31,A3,991,NEFU,Neotoma fuscipes,N. fuscipes,Cricetidae,S,N,155,NA
GRNDAM,unb,2017-08-31,A6,987,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,17,NA
GRNDAM,unb,2017-08-31,A10,995,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,18,NA
GRNDAM,unb,2017-08-31,B10,963,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,18,bald patch
GRNDAM,unb,2017-08-31,C1,990,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,17,NA
GRNDAM,unb,2017-08-31,G10,839,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,13,NA
GRNDAM,unb,2017-08-31,E3,965,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,Y,12,NA
GRNDAM,unb,2017-08-31,E8,893,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,15,NA
GRNDAM,unb,2017-08-31,F9,886,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,18,NA
GRNDAM,unb,2017-08-31,I1,838,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,15,NA
GRNDAM,unb,2017-08-31,G1,183,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,16,NA
GRNHOU,unb,2017-07-27,J6,CLIP-6,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,N,5,shrew
GRNHOU,unb,2017-07-27,J9,114,PEBO,Peromyscus boylii,P. boylii,Cricetidae,A,N,17,gray with yellow flanks; escaped
