capID,code,trapper,site,day,date,trap,trap.type,species,age,sex,breed,recap,left.tag,right.tag,clipped,total.wt,bag.wt,body.lgth,tail.lgth,comments,catnum
1,GRNCAR-1-A,AMM JMP,GRNCAR,1,5-Sep-17,F4,L,PEMA,A,F,P,N,830,,,60,39,83,59,,
2,GRNCAR-1-A,AMM JMP,GRNCAR,1,5-Sep-17,B8,L,PEMA,A,F,L,N,827,,,51,35,75,73,,
3,GRNCAR-2-A,MJH,GRNCAR,2,6-Sep-17,E9,L,SPRU,,,,,,,,,,,,,
4,GRNCAR-2-A,MJH,GRNCAR,2,6-Sep-17,J9,S,PEMA,A,M,T,N,302,,,51,30,79,72,,
5,GRNCAR-2-A,MJH,GRNCAR,2,6-Sep-17,G8,S,SPRU,,,,,,,,,,,,,
6,GRNCAR-2-A,MJH,GRNCAR,2,6-Sep-17,D5,S,PEMA,A,M,T,N,,761,,46,30,75,67,,
7,GRNCAR-2-B,CHT,GRNCAR,2,6-Sep-17,B2,L,SOTR,A,U,U,N,,,,4,,,,,KING-008
8,GRNCAR-2-B,CHT,GRNCAR,2,6-Sep-17,G2,S,PEMA,A,F,L,Y,830,,,57,35,67,57,,
9,GRNCAR-2-B,CHT,GRNCAR,2,6-Sep-17,F3,S,PEMA,A,F,L,Y,827,,,50,34,74,68,,
10,GRNCAR-2-B,CHT,GRNCAR,2,6-Sep-17,F4,L,PEMA,A,M,T,N,759,,,48,33,74,67,,
11,GRNCAR-3-A,AMM JMP,GRNCAR,3,7-Sep-17,J9,S,PEMA,A,M,T,N,842,,,56,38,76,71,,
12,GRNCAR-3-A,AMM JMP,GRNCAR,3,7-Sep-17,J3,S,PEMA,A,M,T,Y,,761,,50,35,77,69,,
13,GRNCAR-3-A,AMM JMP,GRNCAR,3,7-Sep-17,J6,L,PEMA,A,F,P,Y,830,,,70,46,77,57,,
14,GRNCAR-3-A,AMM JMP,GRNCAR,3,7-Sep-17,B2,L,PEMA,A,F,P,N,850,,,60,41,83,65,,
15,GRNCAR-3-A,AMM JMP,GRNCAR,3,7-Sep-17,J1,S,PEMA,A,M,T,Y,759,,,58,40,75,75,,
16,GRNDAM-1-A,KAT,GRNDAM,1,29-Aug-17,A4,S,SOTR,A,U,U,N,,,CLIPPED,38,33,,56,,
17,GRNDAM-1-A,KAT,GRNDAM,1,29-Aug-17,A6,S,SOTR,A,U,U,N,,,CLIPPED,37,32,,50,appeared to be in shock after release; but recovered quickly,
18,GRNDAM-1-A,KAT,GRNDAM,1,29-Aug-17,A7,L,PEMA,A,F,P,N,987,,,49,32,81,75,,
19,GRNDAM-1-A,KAT,GRNDAM,1,29-Aug-17,A10,S,PEMA,A,M,T,N,995,,,51,33,80,70,,
20,GRNDAM-1-A,KAT,GRNDAM,1,29-Aug-17,B10,L,PEMA,A,M,T,N,963,,,52,33,82,75,bald patch behind right rear leg,
21,GRNDAM-1-A,KAT,GRNDAM,1,29-Aug-17,B1,S,PEMA,A,M,T,N,990,,,51,33,77,70,,
22,GRNDAM-1-A,KAT,GRNDAM,1,29-Aug-17,C1,L,PEMA,A,M,T,N,973,,,49,33,76,62,,
23,GRNDAM-1-A,KAT,GRNDAM,1,29-Aug-17,D10,L,SPRU,,,,,,,,,,,,hole in trap; animal probably escaped,
24,GRNDAM-1-A,KAT,GRNDAM,1,29-Aug-17,E1,L,PEMA,A,F,N,N,965,,,46,34,75,73,possibly REME,
25,GRNDAM-1-A,KAT,GRNDAM,1,29-Aug-17,E8,S,PEMA,A,F,P,N,893,,,47,32,77,72,,
26,GRNDAM-1-A,KAT,GRNDAM,1,29-Aug-17,G10,S,SPRU,,,,,,,,,,,,crooked trap; door partially closed; animal probably escaped,
27,GRNDAM-1-A,KAT,GRNDAM,1,29-Aug-17,I1,L,PEMA,A,M,T,N,183,,,48,32,80,74,slightly scrotal,
28,GRNDAM-1-A,KAT,GRNDAM,1,29-Aug-17,I2,S,PEMA,A,M,T,N,886,,,51,33,76,68,,
29,GRNDAM-1-A,KAT,GRNDAM,1,29-Aug-17,I5,L,PEMA,A,F,P,N,897,,,46,33,71,58,,
30,GRNDAM-2-A,KAT,GRNDAM,2,30-Aug-17,B9,S,PEMA,A,M,T,Y,995,,,50,33,76,71,,
