ID,Site,Date,Transect,Meter,Species,DBH_cm,Intact,State,Height_m,Comments,Entered_by,Range,DBH_inch,Biomass
1,GRNCAR,04-Sep-17,1,0-5,Abies concolor,80.8,Y,H,,,JMP,,31.8110408,4272.060926
2,GRNCAR,04-Sep-17,1,0-5,Abies concolor,38,Y,H,,,JMP,,14.960638,657.146053
3,GRNCAR,04-Sep-17,1,15-Oct,Abies concolor,49.5,Y,H,,,JMP,,19.4881995,1266.427195
4,GRNCAR,04-Sep-17,1,15-Oct,Abies concolor,30.8,Y,H,,,JMP,,12.1259908,390.1904494
5,GRNCAR,04-Sep-17,1,15-Oct,Abies concolor,59.7,Y,H,,,JMP,,23.5039497,2015.995658
6,GRNCAR,04-Sep-17,1,15-20,Calocedrus decurrens,37.6,Y,H,,,JMP,,14.8031576,473.677898
7,GRNCAR,04-Sep-17,1,20-25,Abies concolor,65.8,N,D,22.5,,JMP,,25.9055258,2009.841265
8,GRNCAR,04-Sep-17,1,20-25,Calocedrus decurrens,16,Y,H,,,JMP,,6.299216,68.73320675
9,GRNCAR,04-Sep-17,1,20-25,Calocedrus decurrens,75.5,Y,H,,,JMP,,29.7244255,2288.107869
10,GRNCAR,04-Sep-17,1,20-25,Abies concolor,55.3,Y,H,,,JMP,,21.7716653,1667.189736
11,GRNCAR,04-Sep-17,1,20-25,Quercus kelloggii,50.3,Y,D,,,JMP,,19.8031603,1817.733235
12,GRNCAR,04-Sep-17,1,20-25,Quercus kelloggii,29.7,N,D,8.5,,JMP,,11.6929197,324.4204432
13,GRNCAR,04-Sep-17,1,20-25,Quercus kelloggii,25.8,Y,D,,,JMP,,10.1574858,357.0673699
14,GRNCAR,04-Sep-17,1,20-25,Quercus kelloggii,31.8,Y,D,,,JMP,,12.5196918,594.5516443
15,GRNCAR,04-Sep-17,1,25-30,Calocedrus decurrens,39.7,Y,H,,,JMP,,15.6299297,535.5576836
16,GRNCAR,04-Sep-17,1,25-30,Calocedrus decurrens,45.9,Y,H,,,JMP,,18.0708759,743.3373598
17,GRNCAR,04-Sep-17,1,25-30,Abies concolor,58.1,Y,H,,,JMP,,22.8740281,1884.575505
18,GRNCAR,04-Sep-17,1,30-35,Calocedrus decurrens,19.3,Y,H,,,JMP,,7.5984293,104.9904541
19,GRNCAR,04-Sep-17,1,30-35,Calocedrus decurrens,36,N,H,16,,JMP,,14.173236,462.8657544
20,GRNCAR,04-Sep-17,1,35-40,Abies concolor,38.4,Y,H,,,JMP,,15.1181184,674.4447638
21,GRNCAR,04-Sep-17,1,35-40,Abies concolor,33.3,Y,H,,,JMP,,13.1102433,473.565448
22,GRNCAR,04-Sep-17,1,35-40,Calocedrus decurrens,22.7,Y,H,,,JMP,,8.9370127,151.4789751
23,GRNCAR,04-Sep-17,1,35-40,Calocedrus decurrens,25.4,Y,D,,,JMP,,10.0000054,183.1748905
24,GRNCAR,04-Sep-17,1,35-40,Calocedrus decurrens,38.6,Y,H,,,JMP,,15.1968586,502.6165448
25,GRNCAR,04-Sep-17,1,35-40,Calocedrus decurrens,29.7,Y,H,,,JMP,,11.6929197,278.0162057
26,GRNCAR,04-Sep-17,1,40-45,Calocedrus decurrens,32.3,Y,H,,,JMP,,12.7165423,336.0540085
27,GRNCAR,04-Sep-17,1,40-45,Calocedrus decurrens,18.8,N,D,11.5,,JMP,,7.4015788,120.8717527
28,GRNCAR,04-Sep-17,1,40-45,Calocedrus decurrens,27.4,Y,H,,,JMP,,10.7874074,231.7313614
29,GRNCAR,04-Sep-17,1,40-45,Abies concolor,53.5,Y,H,,,JMP,,21.0630035,1535.762157
30,GRNCAR,04-Sep-17,1,40-45,Abies concolor,40.4,Y,H,,,JMP,,15.9055204,765.0003019
31,GRNCAR,04-Sep-17,1,45-50,Abies concolor,42.8,Y,H,,,JMP,,16.8504028,882.7779068
32,GRNCAR,04-Sep-17,1,45-50,Abies concolor,47.1,Y,H,,,JMP,,18.5433171,1119.491927
