Site,Transect,Meter,Raw_data_entry,Species,Type,cover,Max_height_cm,Avg_height_cm,Comments,Entered by,Daniel
GRNCAR,1,0,symphoricarpos mollis,Symphoricarpos mollis,Shrub,12,15,10,,JMP,
GRNCAR,1,0,Soft Loose Litter,BLANK,Soft loose litter,68,2,1,,JMP,
GRNCAR,1,0,Woody Litter,BLANK,Woody litter,30,8,3,,JMP,
GRNCAR,1,0,Bare Ground ,BLANK,Bare Ground,12,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNCAR,1,5,symphoricarpos mollis,Symphoricarpos mollis,Shrub,6,13,10,,JMP,
GRNCAR,1,5,Soft Loose Litter,BLANK,Soft loose litter,35,1,1,,JMP,
GRNCAR,1,5,Woody Litter,BLANK,Woody litter,65,3,1,,JMP,
GRNCAR,1,10,Quercus kelloggii Seedling,Quercus kelloggii,Tree,4,17,15,seedling,JMP,
GRNCAR,1,10,symphoricarpos mollis,Symphoricarpos mollis,Shrub,25,15,8,,JMP,
GRNCAR,1,10,Soft Loose Litter,BLANK,Soft loose litter,20,1,1,,JMP,
GRNCAR,1,10,Woody Litter,BLANK,Woody litter,75,5,2,,JMP,
GRNCAR,1,10,Bare Ground ,BLANK,Bare Ground,5,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNCAR,1,15,Abies sp. Seedling,Abies sp.,Tree,1,5,5,Seedlings,JMP,"In cover, T was replaced by 1"
GRNCAR,1,15,Soft Loose Litter,BLANK,Soft loose litter,50,2,1,,JMP,
GRNCAR,1,15,Woody Litter,BLANK,Woody litter,20,5,2,,JMP,
GRNCAR,1,15,Bare Ground ,BLANK,Bare Ground,30,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNCAR,1,20,Abies sp. Seedling,Abies sp.,Tree,10,65,65,Seedlings,JMP,
GRNCAR,1,20,Woody Litter,BLANK,Woody litter,64,8,3,,JMP,
