Site,Date,Transect,Meter,Species,Shrub_or_Tree,Height_cm,Width_cm,Length_cm,Tree DBH_cm,Comments,Entered by,Review comment
GRNCAR,4-Sep-17,1,0-5,Symphoricarpos mollis,Shrub,40,300,230,,,AMM,
GRNCAR,4-Sep-17,1,0-5,Calocedrus decurrens,Tree,,,,2.5,,AMM,
GRNCAR,4-Sep-17,1,0-5,Abies concolor,Tree,,,,6,,AMM,
GRNCAR,4-Sep-17,1,10-May,Symphoricarpos mollis,Shrub,45,300,500,,,AMM,
GRNCAR,4-Sep-17,1,15-Oct,Symphoricarpos mollis,Shrub,35,110,160,,,AMM,
GRNCAR,4-Sep-17,1,15-Oct,Symphoricarpos mollis,Shrub,30,200,140,,,AMM,
GRNCAR,4-Sep-17,1,30-35,Abies concolor,Tree,,,,3.5,,AMM,
GRNCAR,4-Sep-17,2,15-20,Calocedrus decurrens,Tree,,,,2,,AMM,
GRNCAR,4-Sep-17,2,40-45,Calocedrus decurrens,Tree,150,,,NA,only height measured,AMM,Use height directly rather than DBH
GRNCAR,4-Sep-17,2,15-20,Calocedrus decurrens,Tree,,,,2,,AMM,
GRNDAM,28-Aug-17,1,20-25,Abies concolor,Tree,,,,3.7,,AMM,
GRNDAM,28-Aug-17,1,20-25,Calocedrus decurrens,Tree,,,,3,,AMM,
GRNDAM,28-Aug-17,1,20-25,Abies concolor,Tree,,,,3.9,,AMM,
GRNDAM,28-Aug-17,1,20-25,Abies concolor,Tree,,,,4.4,,AMM,
GRNDAM,28-Aug-17,1,25-30,Abies concolor,Tree,,,,4.3,,AMM,
GRNDAM,28-Aug-17,1,25-30,Abies concolor,Tree,,,,2.8,,AMM,
GRNDAM,28-Aug-17,1,25-30,Abies concolor,Tree,,,,3.6,,AMM,
GRNDAM,28-Aug-17,1,25-30,Abies concolor,Tree,,,,3.1,,AMM,
GRNDAM,28-Aug-17,1,25-30,Abies concolor,Tree,,,,4.3,,AMM,
GRNDAM,28-Aug-17,1,30-35,Abies concolor,Tree,,,,1.9,,AMM,
GRNDAM,28-Aug-17,1,35-40,Calocedrus decurrens,Tree,,,,9.5,,AMM,
GRNDAM,28-Aug-17,1,45-50,Calocedrus decurrens,Tree,,,,3.1,unhealthy,AMM,
GRNDAM,28-Aug-17,1,45-50,Abies concolor,Tree,,,,7.2,,AMM,
GRNDAM,28-Aug-17,1,25-30,Abies concolor,Tree,,,,1.6,,AMM,
GRNDAM,28-Aug-17,1,20-25,Calocedrus decurrens,Tree,,,,3.9,,AMM,
GRNDAM,28-Aug-17,1,15-Oct,Abies concolor,Tree,,,,8.8,,AMM,
GRNDAM,29-Aug-17,2,10-May,Calocedrus decurrens,Tree,,,,11,severely pistol-butted,AMM,
GRNDAM,29-Aug-17,2,10-May,Abies concolor,Tree,,,,1.8,,AMM,
GRNDAM,29-Aug-17,2,10-May,Abies concolor,Tree,,,,5.8,,AMM,
GRNDAM,29-Aug-17,2,15-Oct,Abies concolor,Tree,,,,1.7,,AMM,
GRNDAM,29-Aug-17,2,15-Oct,Abies concolor,Tree,,,,6.6,,AMM,
GRNDAM,29-Aug-17,2,15-Oct,Abies concolor,Tree,,,,5.5,,AMM,
GRNDAM,29-Aug-17,2,15-Oct,Abies concolor,Tree,,,,2,,AMM,
GRNDAM,29-Aug-17,2,15-Oct,Abies concolor,Tree,,,,1.6,,AMM,
GRNDAM,29-Aug-17,2,10-May,Abies concolor,Tree,,,,7.3,,AMM,
GRNDAM,29-Aug-17,2,10-May,Abies concolor,Tree,,,,6.1,,AMM,
GRNDAM,29-Aug-17,2,10-May,Abies concolor,Tree,,,,2.4,,AMM,
GRNDAM,29-Aug-17,2,0-5,Abies concolor,Tree,,,,1.5,,AMM,
GRNHOU,24-Jul-17,1,30-35,Abies concolor,Tree,,,,3.8,trunk at 45 degrees,AMM,
GRNHOU,24-Jul-17,1,20-25,Abies concolor,Tree,,,,13.4,,AMM,
GRNHOU,24-Jul-17,1,20-25,Abies concolor,Tree,,,,8.7,,AMM,
GRNHOU,24-Jul-17,1,10-May,Calocedrus decurrens,Tree,,,,9.3,,AMM,
GRNHOU,24-Jul-17,1,0-5,Calocedrus decurrens,Tree,,,,7,,AMM,
GRNHOU,24-Jul-17,1,10-May,Abies concolor,Tree,,,,10.3,,AMM,
GRNHOU,24-Jul-17,1,20-25,Abies concolor,Tree,,,,11.5,,AMM,
GRNHOU,25-Jul-17,2,45-50,Abies concolor,Tree,,,,11.6,,AMM,
GRNHOU,25-Jul-17,2,45-50,Abies concolor,Tree,,,,9.4,,AMM,
