species,binomial,binomial_short,family,common_name,mass,guild,nests,forag
GLSA,Glaucomys sabrinus,G. sabrinus,Sciuridae,Northern flying squirrel,119,Omnivore,Tree,Arboreal
NEAM,Neotamias amoenus,N. amoenus,Sciuridae,Yellow-pine chipmunk,48.625,Omnivore,Burrow,Scansorial
NEQU,Neotamias quadrimaculatus,N. quadrimaculatus,Sciuridae,Long-eared chipmunk,81.44872,Omnivore,Tree,Scansorial
NESE,Neotamias senex,N. senex,Sciuridae,Shadow chipmunk,68.12963,Omnivore,Tree,Ground
NEFU,Neotoma fuscipes,N. fuscipes,Cricetidae,Dusky-footed woodrat,189.11111,Herbivore,Tree,Arboreal
OTBE,Otospermophilus beecheyi,O. beecheyi,Cricetidae,California ground squirrel,546.13333,Omnivore,Burrow,Ground
PEBO,Peromyscus boylii,P. boylii,Cricetidae,Brush mouse,18.83333,Omnivore,Hollow,Scansorial
PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,Deer mouse,17.4512,Omnivore,Hollow,Scansorial
PETR,Peromyscus truei,P. truei,Cricetidae,Pinyon mouse,20.5,Herbivore,Hollow,Scansorial
REME,Reithrodontomys megalotis,R. megalotis,Cricetidae,Western harvest mouse,20,Herbivore,Hollow,Scansorial
SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,Trowbridge's shrew,4.84375,Insectivore,Burrow,Ground
