VALUE,CLASSNAMES,R,G,B,red,green,blue
11,Open Water,0,0,255,0.00000000000,0.00000000000,1.00000000000
12,Snow/Ice,159,161,240,0.62352900000,0.63137300000,0.94117600000
13,Developed-Upland Deciduous Forest,64,61,168,0.25098000000,0.23921600000,0.65882400000
14,Developed-Upland Evergreen Forest,68,79,137,0.26666700000,0.30980400000,0.53725500000
15,Developed-Upland Mixed Forest,102,119,205,0.40000000000,0.46666700000,0.80392200000
16,Developed-Upland Herbaceous,122,142,245,0.47843100000,0.55686300000,0.96078400000
17,Developed-Upland Shrubland,158,170,215,0.61960800000,0.66666700000,0.84313700000
18,Developed-Herbaceous Wetland Vegetation,52,52,52,0.20392200000,0.20392200000,0.20392200000
19,Developed-Woody Wetland Vegetation,52,52,52,0.20392200000,0.20392200000,0.20392200000
20,Developed - General,255,235,224,1.00000000000,0.92156900000,0.87843100000
21,Developed - Open Space,253,204,211,0.99215700000,0.80000000000,0.82745100000
22,Developed - Low Intensity,255,122,143,1.00000000000,0.47843100000,0.56078400000
23,Developed - Medium Intensity,253,44,79,0.99215700000,0.17254900000,0.30980400000
24,Developed - High Intensity,173,0,28,0.67843100000,0.00000000000,0.10980400000
25,Developed-Roads,1,1,1,0.00392200000,0.00392200000,0.00392200000
31,Barren,191,191,191,0.74902000000,0.74902000000,0.74902000000
32,Quarries-Strip Mines-Gravel Pits,230,232,250,0.90196100000,0.90980400000,0.98039200000
60,NASS-Orchard,210,28,94,0.82352900000,0.10980400000,0.36862700000
61,NASS-Vineyard,168,0,132,0.65882400000,0.00000000000,0.51764700000
62,NASS-Bush fruit and berries,210,28,119,0.82352900000,0.10980400000,0.46666700000
63,NASS-Row Crop-Close Grown Crop,255,245,140,1.00000000000,0.96078400000,0.54902000000
64,NASS-Row Crop,250,255,119,0.98039200000,1.00000000000,0.46666700000
65,NASS-Close Grown Crop,255,237,119,1.00000000000,0.92941200000,0.46666700000
66,NASS-Fallow/Idle Cropland,255,255,119,1.00000000000,1.00000000000,0.46666700000
67,NASS-Pasture and Hayland,227,212,28,0.89019600000,0.83137300000,0.10980400000
68,NASS-Wheat,250,227,163,0.98039200000,0.89019600000,0.63921600000
69,NASS-Aquaculture,210,255,237,0.82352900000,1.00000000000,0.92941200000
75,Herbaceous Semi-dry,127,56,255,0.49803900000,0.21960800000,1.00000000000
76,Herbaceous Semi-wet,127,56,255,0.49803900000,0.21960800000,1.00000000000
78,Recently Disturbed Forest,127,56,43,0.49803900000,0.21960800000,0.16862700000
80,Agriculture - General,255,255,191,1.00000000000,1.00000000000,0.74902000000
81,Pasture/Hay,255,255,156,1.00000000000,1.00000000000,0.61176500000
82,Cultivated Crops,255,255,120,1.00000000000,1.00000000000,0.47058800000
83,Small Grains,255,255,84,1.00000000000,1.00000000000,0.32941200000
84,Fallow,255,255,43,1.00000000000,1.00000000000,0.16862700000
85,Urban-Recreational Grasses,255,255,0,1.00000000000,1.00000000000,0.00000000000
95,Herbaceous Wetlands,127,143,255,0.49803900000,0.56078400000,1.00000000000
100,Sparse Vegetation Canopy,122,127,117,0.47843100000,0.49803900000,0.45882400000
101,Tree Cover >= 10 and < 20%,204,255,153,0.80000000000,1.00000000000,0.60000000000
102,Tree Cover >= 20 and < 30%,174,224,130,0.68235300000,0.87843100000,0.50980400000
103,Tree Cover >= 30 and < 40%,145,196,108,0.56862700000,0.76862700000,0.42352900000
104,Tree Cover >= 40 and < 50%,119,171,87,0.46666700000,0.67058800000,0.34117600000
105,Tree Cover >= 50 and < 60%,94,145,68,0.36862700000,0.56862700000,0.26666700000
106,Tree Cover >= 60 and < 70%,70,120,50,0.27451000000,0.47058800000,0.19607800000
107,Tree Cover >= 70 and < 80%,51,99,36,0.20000000000,0.38823500000,0.14117600000
108,Tree Cover >= 80 and < 90%,32,79,22,0.12549000000,0.30980400000,0.08627500000
109,Tree Cover >= 90 and <= 100%,0,51,0,0.00000000000,0.20000000000,0.00000000000
111,Shrub Cover >= 10 and < 20%,212,178,125,0.83137300000,0.69803900000,0.49019600000
112,Shrub Cover >= 20 and < 30%,209,161,113,0.81960800000,0.63137300000,0.44313700000
113,Shrub Cover >= 30 and < 40%,204,145,102,0.80000000000,0.56862700000,0.40000000000
114,Shrub Cover >= 40 and < 50%,199,126,90,0.78039200000,0.49411800000,0.35294100000
