VALUE,CLASSNAMES
11,Open Water
12,Snow/Ice
13,Developed-Upland Deciduous Forest
14,Developed-Upland Evergreen Forest
15,Developed-Upland Mixed Forest
16,Developed-Upland Herbaceous
17,Developed-Upland Shrubland
18,Developed-Herbaceous Wetland Vegetation
19,Developed-Woody Wetland Vegetation
20,Developed - General
21,Developed - Open Space
22,Developed - Low Intensity
23,Developed - Medium Intensity
24,Developed - High Intensity
25,Developed-Roads
31,Barren
32,Quarries-Strip Mines-Gravel Pits
60,NASS-Orchard
61,NASS-Vineyard
62,NASS-Bush fruit and berries
63,NASS-Row Crop-Close Grown Crop
64,NASS-Row Crop
65,NASS-Close Grown Crop
66,NASS-Fallow/Idle Cropland
67,NASS-Pasture and Hayland
68,NASS-Wheat
69,NASS-Aquaculture
75,Herbaceous Semi-dry
76,Herbaceous Semi-wet
78,Recently Disturbed Forest
80,Agriculture - General
81,Pasture/Hay
82,Cultivated Crops
83,Small Grains
84,Fallow
85,Urban-Recreational Grasses
95,Herbaceous Wetlands
100,Sparse Vegetation Canopy
101,Tree Cover >= 10 and < 20%
102,Tree Cover >= 20 and < 30%
103,Tree Cover >= 30 and < 40%
104,Tree Cover >= 40 and < 50%
105,Tree Cover >= 50 and < 60%
106,Tree Cover >= 60 and < 70%
107,Tree Cover >= 70 and < 80%
108,Tree Cover >= 80 and < 90%
109,Tree Cover >= 90 and <= 100%
111,Shrub Cover >= 10 and < 20%
112,Shrub Cover >= 20 and < 30%
113,Shrub Cover >= 30 and < 40%
114,Shrub Cover >= 40 and < 50%
115,Shrub Cover >= 50 and < 60%
116,Shrub Cover >= 60 and < 70%
117,Shrub Cover >= 70 and < 80%
118,Shrub Cover >= 80 and < 90%
119,Shrub Cover >= 90 and <= 100%
121,Herb Cover >= 10 and < 20%
122,Herb Cover >= 20 and < 30%
123,Herb Cover >= 30 and < 40%
124,Herb Cover >= 40 and < 50%
125,Herb Cover >= 50 and < 60%
126,Herb Cover >= 60 and < 70%
127,Herb Cover >= 70 and < 80%
128,Herb Cover >= 80 and < 90%
129,Herb Cover >= 90 and <= 100%
150,Sparse Vegetation Canopy
151,Tree Canopy >= 10 and < 25%
152,Tree Canopy >= 25 and < 60%
153,Tree Canopy >= 60 and <= 100%
161,Shrub Canopy >= 10 and < 25%
162,Shrub Canopy >= 25 and < 60%
163,Shrub Canopy >= 60 and <= 100%
171,Herb Canopy >= 10 and < 60%
172,Herb Canopy >= 60 and <= 100%
-9999,NoData
