CLASSNAME,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,r,g,b,Red,Green,Blue,VALUE
Nodata,9999.000000,Nodata,Nodata,-9999,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,255.000000,255.000000,255.000000,1.000000,1.000000,1.000000,-9999
Inter-Mountain Basins Sparsely Vegetated Systems,2001.000000,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100.000000,100.000000,100.000000,0.392157,0.392157,0.392157,3001
Mediterranean California Sparsely Vegetated Systems,2002.000000,Sps Mediterranean California Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100.000000,100.000000,100.000000,0.392157,0.392157,0.392157,3002
North Pacific Sparsely Vegetated Systems,2003.000000,Sps North Pacific Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100.000000,100.000000,100.000000,0.392157,0.392157,0.392157,3003
North American Warm Desert Sparsely Vegetated Systems,2004.000000,Sps North American Warm Desert Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100.000000,100.000000,100.000000,0.392157,0.392157,0.392157,3004
Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,2006.000000,Sps Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100.000000,100.000000,100.000000,0.392157,0.392157,0.392157,3006
Western Great Plains Sparsely Vegetated Systems,2007.000000,Sps Western Great Plains Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100.000000,100.000000,100.000000,0.392157,0.392157,0.392157,3007
North Pacific Oak Woodland,2008.000000,Tr North Pacific Oak Woodland,Tree,629,Hardwood,Western Oak Woodland and Savanna,SAF 233: Oregon White Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,203.000000,255.000000,171.000000,0.796078,1.000000,0.670588,3008
Northwestern Great Plains Aspen Forest and Parkland,2009.000000,Tr Northwestern Great Plains Aspen Forest and Parkland,Tree,602,Hardwood,"Aspen Forest, Woodland, and Parkland",SAF 217: Aspen,Tree-dominated,Open tree canopy,Deciduous open tree canopy,192.000000,255.000000,138.000000,0.752941,1.000000,0.541176,3009
Rocky Mountain Aspen Forest and Woodland,2011.000000,Tr Rocky Mountain Aspen Forest and Woodland,Tree,602,Hardwood,"Aspen Forest, Woodland, and Parkland",SAF 217: Aspen,Tree-dominated,Open tree canopy,Deciduous open tree canopy,192.000000,255.000000,138.000000,0.752941,1.000000,0.541176,3011
