VALUE,EVT_Name,LFRDB,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,r,g,b,Red,Green,Blue
7292,Open Water,7292,11,Ba Open Water,Water,11,Open Water,Open Water,LF 11: Water,Non-vegetated,Non-vegetated,Non-vegetated,0,0,255,0.00000000000,0.00000000000,1.00000000000
7735,North American Glacier and Ice Field,7735,12,Ba Snow-Ice,Snow-Ice,12,Snow-Ice,Snow-Ice,LF 12: Snow-Ice,Non-vegetated,Non-vegetated,Non-vegetated,159,161,240,0.62352900000,0.63137300000,0.94117600000
7295,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,7295,32,Bab Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Barren,32,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,LF 20: Developed,Non-vegetated,Non-vegetated,Developed,230,232,250,0.90196100000,0.90980400000,0.98039200000
9001,Colorado Plateau Mixed Bedrock Canyon and Tableland,9001,2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9032,Columbia Plateau Ash and Tuff Badland,9032,2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9004,Inter-Mountain Basins Active and Stabilized Dune,9004,2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9006,Inter-Mountain Basins Cliff and Canyon,9006,2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9008,Inter-Mountain Basins Playa,9008,2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9009,Inter-Mountain Basins Shale Badland,9009,2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9033,Inter-Mountain Basins Volcanic Rock and Cinder Land,9033,2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9010,Inter-Mountain Basins Wash,9010,2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9062,Central California Coast Ranges Cliff and Canyon,9062,2002,Sps Mediterranean California Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9110,Klamath-Siskiyou Cliff and Outcrop,9110,2002,Sps Mediterranean California Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9125,Mediterranean California Alpine Bedrock and Scree,9125,2002,Sps Mediterranean California Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9213,Sierra Nevada Cliff and Canyon,9213,2002,Sps Mediterranean California Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9246,Southern California Coast Ranges Cliff and Canyon,9246,2002,Sps Mediterranean California Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
