region,severity,site.code,site.name,previous.names
Belt,Green,GRNHOU,Houses,Green2
Belt,Green,GRNMAS,Mastication,Green1
Belt,Green,GRNTUR,Turn-out,Green3
Belt,High,HICORN,Corner,
Belt,High,HIDODD,Dodder,Snake
Belt,High,HITEDD,Ted,Stix
Belt,Mixed,MIXBUS,Bus,
Belt,Mixed,MIXMIX,Mixed,
Belt,Mixed,MIXMOR,Morel,
Devil's Peak,Green,GRNCAR,Car Keys,
Devil's Peak,Green,GRNKAN,Kanye,West
Devil's Peak,Green,GRNWOO,Woodpile,
Devil's Peak,High,HICOWS,Cows,
Devil's Peak,High,HISQUE,Squeeze,
Devil's Peak,High,HIWALK,Walk-in,
Devil's Peak,Mixed,MIXDP2,DP2,
Devil's Peak,Mixed,MIXMID,Middle,
Devil's Peak,Mixed,MIXRAV,Ravine,
High Meadows,Green,GRNDAM,Dam,
High Meadows,Green,GRNQUA,Quail,North
High Meadows,Green,GRNSNO,Snow,
High Meadows,High,HIBADR,Bad Road,
High Meadows,High,HICAMP,Campground,
High Meadows,High,HISHRU,Shrub,Bat
High Meadows,Mixed,MIXBUT,Butterfly,
High Meadows,Mixed,MIXRIV,River Crossing,
High Meadows,Mixed,MIXWAT,Waterfall,Middle Meadows
