capID,code,trapper,site,day,date,trap,trap.type,species,age,sex,breed,recap,left.tag,right.tag,clipped,total.wt,bag.wt,body.lgth,tail.lgth,comments,catnum,indID,tail.ratio,weight
1,GRNCAR-1-A,AMM JMP,GRNCAR,1,2017-09-05,F4,L,PEMA,A,F,P,N,830,NA,NA,60,39,83,59,NA,NA,830,0.710843373493976,21
2,GRNCAR-1-A,AMM JMP,GRNCAR,1,2017-09-05,B8,L,PEMA,A,F,L,N,827,NA,NA,51,35,75,73,NA,NA,827,0.973333333333333,16
3,GRNCAR-2-A,MJH,GRNCAR,2,2017-09-06,E9,L,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,GRNCAR-2-A,MJH,GRNCAR,2,2017-09-06,J9,S,PEMA,A,M,T,N,302,NA,NA,51,30,79,72,NA,NA,302,0.911392405063291,21
5,GRNCAR-2-A,MJH,GRNCAR,2,2017-09-06,G8,S,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,GRNCAR-2-A,MJH,GRNCAR,2,2017-09-06,D5,S,PEMA,A,M,T,N,NA,761,NA,46,30,75,67,NA,NA,761,0.893333333333333,16
7,GRNCAR-2-B,CHT,GRNCAR,2,2017-09-06,B2,L,SOTR,A,U,U,N,NA,NA,NA,4,NA,NA,NA,NA,KING-008,KING-008,NA,NA
8,GRNCAR-2-B,CHT,GRNCAR,2,2017-09-06,G2,S,PEMA,A,F,L,Y,830,NA,NA,57,35,67,57,NA,NA,830,0.850746268656716,22
9,GRNCAR-2-B,CHT,GRNCAR,2,2017-09-06,F3,S,PEMA,A,F,L,Y,827,NA,NA,50,34,74,68,NA,NA,827,0.918918918918919,16
10,GRNCAR-2-B,CHT,GRNCAR,2,2017-09-06,F4,L,PEMA,A,M,T,N,759,NA,NA,48,33,74,67,NA,NA,759,0.905405405405405,15
11,GRNCAR-3-A,AMM JMP,GRNCAR,3,2017-09-07,J9,S,PEMA,A,M,T,N,842,NA,NA,56,38,76,71,NA,NA,842,0.934210526315789,18
12,GRNCAR-3-A,AMM JMP,GRNCAR,3,2017-09-07,J3,S,PEMA,A,M,T,Y,NA,761,NA,50,35,77,69,NA,NA,761,0.896103896103896,15
13,GRNCAR-3-A,AMM JMP,GRNCAR,3,2017-09-07,J6,L,PEMA,A,F,P,Y,830,NA,NA,70,46,77,57,NA,NA,830,0.74025974025974,24
14,GRNCAR-3-A,AMM JMP,GRNCAR,3,2017-09-07,B2,L,PEMA,A,F,P,N,850,NA,NA,60,41,83,65,NA,NA,850,0.783132530120482,19
15,GRNCAR-3-A,AMM JMP,GRNCAR,3,2017-09-07,J1,S,PEMA,A,M,T,Y,759,NA,NA,58,40,75,75,NA,NA,759,1,18
16,GRNDAM-1-A,KAT,GRNDAM,1,2017-08-29,A4,S,SOTR,A,U,U,N,NA,NA,CLIPPED,38,33,NA,56,NA,NA,CLIP-1,NA,5
17,GRNDAM-1-A,KAT,GRNDAM,1,2017-08-29,A6,S,SOTR,A,U,U,N,NA,NA,CLIPPED,37,32,NA,50,appeared to be in shock after release; but recovered quickly,NA,CLIP-2,NA,5
18,GRNDAM-1-A,KAT,GRNDAM,1,2017-08-29,A7,L,PEMA,A,F,P,N,987,NA,NA,49,32,81,75,NA,NA,987,0.925925925925926,17
19,GRNDAM-1-A,KAT,GRNDAM,1,2017-08-29,A10,S,PEMA,A,M,T,N,995,NA,NA,51,33,80,70,NA,NA,995,0.875,18
20,GRNDAM-1-A,KAT,GRNDAM,1,2017-08-29,B10,L,PEMA,A,M,T,N,963,NA,NA,52,33,82,75,bald patch behind right rear leg,NA,963,0.914634146341463,19
21,GRNDAM-1-A,KAT,GRNDAM,1,2017-08-29,B1,S,PEMA,A,M,T,N,990,NA,NA,51,33,77,70,NA,NA,990,0.909090909090909,18
22,GRNDAM-1-A,KAT,GRNDAM,1,2017-08-29,C1,L,PEMA,A,M,T,N,973,NA,NA,49,33,76,62,NA,NA,973,0.815789473684211,16
23,GRNDAM-1-A,KAT,GRNDAM,1,2017-08-29,D10,L,MISS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hole in trap; animal probably escaped,NA,NA,NA,NA
24,GRNDAM-1-A,KAT,GRNDAM,1,2017-08-29,E1,L,PEMA,A,F,N,N,965,NA,NA,46,34,75,73,possibly REME,NA,965,0.973333333333333,12
25,GRNDAM-1-A,KAT,GRNDAM,1,2017-08-29,E8,S,PEMA,A,F,P,N,893,NA,NA,47,32,77,72,NA,NA,893,0.935064935064935,15
26,GRNDAM-1-A,KAT,GRNDAM,1,2017-08-29,G10,S,MISS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,crooked trap; door partially closed; animal probably escaped,NA,NA,NA,NA
27,GRNDAM-1-A,KAT,GRNDAM,1,2017-08-29,I1,L,PEMA,A,M,T,N,183,NA,NA,48,32,80,74,slightly scrotal,NA,183,0.925,16
28,GRNDAM-1-A,KAT,GRNDAM,1,2017-08-29,I2,S,PEMA,A,M,T,N,886,NA,NA,51,33,76,68,NA,NA,886,0.894736842105263,18
29,GRNDAM-1-A,KAT,GRNDAM,1,2017-08-29,I5,L,PEMA,A,F,P,N,897,NA,NA,46,33,71,58,NA,NA,897,0.816901408450704,13
30,GRNDAM-2-A,KAT,GRNDAM,2,2017-08-30,B9,S,PEMA,A,M,T,Y,995,NA,NA,50,33,76,71,NA,NA,995,0.934210526315789,17
31,GRNDAM-2-A,KAT,GRNDAM,2,2017-08-30,B7,S,PEMA,A,F,P,Y,987,NA,NA,49,32,82,73,NA,NA,987,0.890243902439024,17
32,GRNDAM-2-A,KAT,GRNDAM,2,2017-08-30,B5,S,PEMA,A,M,T,Y,990,NA,NA,51,35,77,72,NA,NA,990,0.935064935064935,16
33,GRNDAM-2-A,KAT,GRNDAM,2,2017-08-30,C1,L,PEMA,A,F,N,Y,965,NA,NA,45,32,73,71,NA,NA,965,0.972602739726027,13
34,GRNDAM-2-A,KAT,GRNDAM,2,2017-08-30,C7,L,PEMA,A,M,N,N,974,NA,NA,48,32,78,70,NA,NA,974,0.897435897435897,16
35,GRNDAM-2-A,KAT,GRNDAM,2,2017-08-30,C9,L,PEMA,A,M,T,Y,963,NA,NA,50,32,83,71,bald patch,NA,963,0.855421686746988,18
36,GRNDAM-2-A,KAT,GRNDAM,2,2017-08-30,E1,L,PEMA,A,M,T,Y,183,NA,NA,49,33,76,73,NA,NA,183,0.960526315789474,16
37,GRNDAM-2-A,KAT,GRNDAM,2,2017-08-30,E5,L,PEMA,A,M,T,Y,886,NA,NA,49,33,75,69,slightly scrotal,NA,886,0.92,16
38,GRNDAM-2-B,AMM,GRNDAM,2,2017-08-30,I4,S,PEMA,S,F,P,Y,897,NA,NA,48,36,72,59,NA,NA,897,0.819444444444444,12
39,GRNDAM-2-B,AMM,GRNDAM,2,2017-08-30,G9,L,PEMA,A,F,P,Y,893,NA,NA,55,37,80,74,NA,NA,893,0.925,18
40,GRNDAM-2-B,AMM,GRNDAM,2,2017-08-30,G2,S,PEMA,S,M,N,N,838,NA,NA,52,38,72,66,NA,NA,838,0.916666666666667,14
41,GRNDAM-2-B,AMM,GRNDAM,2,2017-08-30,F2,L,PEMA,S,M,T,Y,973,NA,NA,52,36,74,62,tiny testes,NA,973,0.837837837837838,16
42,GRNDAM-2-B,AMM,GRNDAM,2,2017-08-30,F7,S,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,GRNDAM-2-B,AMM,GRNDAM,2,2017-08-30,F9,S,PEMA,A,M,T,N,839,NA,NA,48,34,82,68,NA,NA,839,0.829268292682927,14
44,GRNDAM-3-A,KAT,GRNDAM,3,2017-08-31,A1,L,SOTR,A,U,U,N,NA,NA,CLIPPED,37,33,NA,48,NA,NA,CLIP-3,NA,4
45,GRNDAM-3-A,KAT,GRNDAM,3,2017-08-31,A3,L,NEFU,J,M,N,N,991,NA,NA,188,33,NA,NA,NA,NA,991,NA,155
46,GRNDAM-3-A,KAT,GRNDAM,3,2017-08-31,A4,S,SPRU,A,U,U,Y,NA,NA,CLIPPED,4,NA,NA,53,dead in trap,KING-171,NA,NA,NA
47,GRNDAM-3-A,KAT,GRNDAM,3,2017-08-31,A6,S,PEMA,A,F,P,Y,987,NA,NA,49,32,81,75,NA,NA,987,0.925925925925926,17
48,GRNDAM-3-A,KAT,GRNDAM,3,2017-08-31,A10,S,PEMA,A,M,T,Y,995,NA,NA,50,32,80,71,NA,NA,995,0.8875,18
49,GRNDAM-3-A,KAT,GRNDAM,3,2017-08-31,B10,L,PEMA,A,M,T,Y,963,NA,NA,51,33,80,74,bald patch,NA,963,0.925,18
50,GRNDAM-3-A,KAT,GRNDAM,3,2017-08-31,C1,L,PEMA,A,M,T,Y,990,NA,NA,50,33,79,72,NA,NA,990,0.911392405063291,17
51,GRNDAM-3-B,AMM,GRNDAM,3,2017-08-31,G10,S,PEMA,A,M,T,Y,839,NA,NA,50,37,76,67,NA,NA,839,0.881578947368421,13
52,GRNDAM-3-B,AMM,GRNDAM,3,2017-08-31,E3,L,PEMA,S,F,N,Y,965,NA,NA,51,39,80,72,NA,NA,965,0.9,12
53,GRNDAM-3-B,AMM,GRNDAM,3,2017-08-31,E8,S,PEMA,A,F,P,Y,893,NA,NA,52,37,79,72,NA,NA,893,0.911392405063291,15
54,GRNDAM-3-B,AMM,GRNDAM,3,2017-08-31,F9,S,PEMA,A,M,T,Y,886,NA,NA,54,36,83,66,NA,NA,886,0.795180722891566,18
55,GRNDAM-3-B,AMM,GRNDAM,3,2017-08-31,I1,L,PEMA,S,M,T,Y,838,NA,NA,49,34,74,66,NA,NA,838,0.891891891891892,15
56,GRNDAM-3-B,AMM,GRNDAM,3,2017-08-31,G1,L,PEMA,A,M,T,Y,183,NA,NA,52,36,84,73,NA,NA,183,0.869047619047619,16
58,GRNHOU-1-A,BRP,GRNHOU,1,2017-07-25,J6,L,SOTR,A,M,T,N,NA,NA,CLIPPED,50.5,45,55,45,NA,NA,CLIP-4,0.818181818181818,5.5
59,GRNHOU-1-A,BRP,GRNHOU,1,2017-07-25,H6,L,PEMA,A,M,T,N,103,NA,NA,60,44,64,58,aggressive,NA,103,0.90625,16
60,GRNHOU-1-A,BRP,GRNHOU,1,2017-07-25,G10,S,PEMA,A,M,T,N,116,NA,NA,58,44,NA,NA,escaped after ear tag,NA,116,NA,14
61,GRNHOU-1-A,BRP,GRNHOU,1,2017-07-25,G6,S,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,GRNHOU-1-A,BRP,GRNHOU,1,2017-07-25,G3,L,PEMA,S,F,N,N,117,NA,NA,55,44,70,69,NA,NA,117,0.985714285714286,11
63,GRNHOU-1-A,BRP,GRNHOU,1,2017-07-25,G1,L,PEMA,A,M,T,N,124,NA,NA,57,44,58,60,NA,NA,124,1.03448275862069,13
64,GRNHOU-1-A,BRP,GRNHOU,1,2017-07-25,F2,L,SOTR,A,U,U,N,NA,NA,CLIPPED,52,47,NA,49,NA,NA,CLIP-5,NA,5
65,GRNHOU-1-A,BRP,GRNHOU,1,2017-07-25,F9,S,PEMA,S,F,N,N,402,NA,NA,54,44,62,59,very small,NA,402,0.951612903225806,10
66,GRNHOU-1-B,KAT,GRNHOU,1,2017-07-25,A2,L,PEMA,A,M,N,N,193,NA,NA,49,34,80,58,NA,NA,193,0.725,15
67,GRNHOU-1-B,KAT,GRNHOU,1,2017-07-25,A4,L,TAQU,A,M,T,N,177,NA,NA,116,33,NA,NA,NA,NA,177,NA,83
68,GRNHOU-1-B,KAT,GRNHOU,1,2017-07-25,A5,S,MISS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not flagged…entire station missing,NA,NA,NA,NA
69,GRNHOU-1-B,KAT,GRNHOU,1,2017-07-25,A9,L,TAQU,A,F,P,N,4,NA,NA,132,33,NA,NA,NA,NA,004,NA,99
70,GRNHOU-1-B,KAT,GRNHOU,1,2017-07-25,B5,L,PEMA,A,M,N,N,45,NA,NA,48,34,70,59,NA,NA,045,0.842857142857143,14
71,GRNHOU-1-B,KAT,GRNHOU,1,2017-07-25,B9,L,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,GRNHOU-1-B,KAT,GRNHOU,1,2017-07-25,C2,L,GLSA,A,M,T,N,180,NA,NA,148,32,NA,NA,NA,NA,180,NA,116
73,GRNHOU-1-B,KAT,GRNHOU,1,2017-07-25,C3,S,SOTR,A,U,U,N,NA,NA,NA,4.5,NA,NA,48,dead,KING-073,KING-073,NA,NA
74,GRNHOU-1-B,KAT,GRNHOU,1,2017-07-25,D10,L,PEMA,S,F,N,N,10,NA,NA,49,36,69,65,NA,NA,010,0.942028985507246,13
75,GRNHOU-1-B,KAT,GRNHOU,1,2017-07-25,E3,L,PEMA,A,M,N,N,25,NA,NA,46,34,67,60,NA,NA,025,0.895522388059702,12
76,GRNHOU-1-B,KAT,GRNHOU,1,2017-07-25,E5,L,PEMA,A,F,N,N,42,NA,NA,51,34,85,77,NA,NA,042,0.905882352941176,17
77,GRNHOU-2-A,KAT,GRNHOU,2,2017-07-26,A1,S,PEMA,A,M,N,Y,45,NA,NA,47,34,66,56,NA,NA,045,0.848484848484849,13
78,GRNHOU-2-A,KAT,GRNHOU,2,2017-07-26,A3,S,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,GRNHOU-2-A,KAT,GRNHOU,2,2017-07-26,A4,L,TAQU,A,M,T,Y,177,NA,NA,120,34,NA,NA,NA,NA,177,NA,86
80,GRNHOU-2-A,KAT,GRNHOU,2,2017-07-26,A9,L,TAQU,A,F,P,Y,4,NA,NA,125,35,NA,NA,NA,NA,004,NA,90
81,GRNHOU-2-A,KAT,GRNHOU,2,2017-07-26,B3,L,PEMA,A,M,T,Y,193,NA,NA,51,35,82,58,slightly scrotal,NA,193,0.707317073170732,16
82,GRNHOU-2-A,KAT,GRNHOU,2,2017-07-26,C6,L,PEMA,A,F,N,Y,42,NA,NA,51,34,82,74,squeaky,NA,042,0.902439024390244,17
83,GRNHOU-2-A,KAT,GRNHOU,2,2017-07-26,D2,S,PEMA,A,M,N,Y,25,NA,NA,47,34,63,59,NA,NA,025,0.936507936507937,13
84,GRNHOU-2-B,BRP,GRNHOU,2,2017-07-26,I4,S,SPRU,MD,MD,MD,N,NA,NA,NA,NA,NA,NA,NA,escaped,NA,NA,NA,NA
85,GRNHOU-2-B,BRP,GRNHOU,2,2017-07-26,H7,S,PEMA,S,M,N,N,104,NA,NA,59,45,63,69,NA,NA,104,1.0952380952381,14
86,GRNHOU-2-B,BRP,GRNHOU,2,2017-07-26,G8,S,PEMA,A,M,T,N,406,NA,NA,59,43,62,67,NA,NA,406,1.08064516129032,16
87,GRNHOU-2-B,BRP,GRNHOU,2,2017-07-26,G1,L,SPRU,A,M,U,Y,NA,NA,CLIPPED,51,46,NA,49,stinky,NA,NA,NA,5
88,GRNHOU-3-A,BRP,GRNHOU,3,2017-07-27,J6,L,SOTR,A,U,U,N,NA,NA,CLIPPED,51,46,NA,48,shrew,NA,CLIP-6,NA,5
89,GRNHOU-3-A,BRP,GRNHOU,3,2017-07-27,J9,S,PEBO,A,F,P,N,114,NA,NA,62,45,NA,NA,gray with yellow flanks; escaped,NA,114,NA,17
90,GRNHOU-3-A,BRP,GRNHOU,3,2017-07-27,I2,S,PEMA,A,MD,MD,Y,117,NA,NA,60,48,NA,NA,escaped,NA,117,NA,12
