trapID,x,y
A1,0,90
A2,0,80
A3,0,70
A4,0,60
A5,0,50
A6,0,40
A7,0,30
A8,0,20
A9,0,10
A10,0,0
B1,10,90
B2,10,80
B3,10,70
B4,10,60
B5,10,50
B6,10,40
B7,10,30
B8,10,20
B9,10,10
B10,10,0
C1,20,90
C2,20,80
C3,20,70
C4,20,60
C5,20,50
C6,20,40
C7,20,30
C8,20,20
C9,20,10
C10,20,0
D1,30,90
D2,30,80
D3,30,70
D4,30,60
D5,30,50
D6,30,40
D7,30,30
D8,30,20
D9,30,10
D10,30,0
E1,40,90
E2,40,80
E3,40,70
E4,40,60
E5,40,50
E6,40,40
E7,40,30
E8,40,20
E9,40,10
E10,40,0
F1,50,90
F2,50,80
F3,50,70
F4,50,60
F5,50,50
F6,50,40
F7,50,30
F8,50,20
F9,50,10
F10,50,0
G1,60,90
G2,60,80
G3,60,70
G4,60,60
G5,60,50
G6,60,40
G7,60,30
G8,60,20
G9,60,10
G10,60,0
H1,70,90
H2,70,80
H3,70,70
H4,70,60
H5,70,50
H6,70,40
H7,70,30
H8,70,20
H9,70,10
H10,70,0
I1,80,90
I2,80,80
I3,80,70
I4,80,60
I5,80,50
I6,80,40
I7,80,30
I8,80,20
I9,80,10
I10,80,0
J1,90,90
J2,90,80
J3,90,70
J4,90,60
J5,90,50
J6,90,40
J7,90,30
J8,90,20
J9,90,10
J10,90,0
